"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;17
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Unit";"Overlord";"Larva";23
"Unit";"Queen";"Hatchery";23
"Unit";"Queen";"Hatchery";25
"Unit";"Zergling";"Larva";28
"Unit";"Zergling";"Larva";29
"Unit";"Zergling";"Larva";32
"Unit";"Zergling";"Larva";33
"Unit";"Queen";"Hatchery";36
"Building";"Hatchery";NA;39
"Unit";"Overlord";"Larva";39
"Unit";"Zergling";"Larva";39
"Unit";"Zergling";"Larva";40
"Unit";"Zergling";"Larva";41
"Unit";"Zergling";"Larva";42
"Unit";"Overlord";"Larva";44
"Building";"CreepTumorQueen";NA;51
"Unit";"Overlord";"Larva";51
"Building";"EvolutionChamber";NA;52
"Building";"CreepTumor";NA;55
"Building";"CreepTumorQueen";NA;56
"Building";"Extractor";NA;59
"Building";"RoachWarren";NA;62
"Building";"CreepTumor";NA;66
"Building";"Extractor";NA;66
"Building";"CreepTumorQueen";NA;66
"Building";"Extractor";NA;69
"Building";"CreepTumor";NA;75
"Unit";"Overlord";"Larva";77
"Unit";"Overlord";"Larva";77
"Unit";"Overlord";"Larva";77
"Unit";"Overlord";"Larva";79
"Building";"CreepTumor";NA;79
"Building";"CreepTumor";NA;79
"Unit";"Roach";"Larva";79
"Unit";"Overlord";"Larva";81
"Building";"CreepTumorQueen";NA;81
"Unit";"Queen";"Hatchery";81
"Unit";"Roach";"Larva";83
"Unit";"Roach";"Larva";85
"Building";"CreepTumor";NA;87
"Unit";"Roach";"Larva";87
"Unit";"Roach";"Larva";89
"Unit";"Roach";"Larva";91
"Unit";"Roach";"Larva";93
"Unit";"Roach";"Larva";95
"Upgrade";"GlialReconstitution";"RoachWarren";97
"Unit";"Roach";"Larva";97
"Unit";"Roach";"Larva";99
"Unit";"Roach";"Larva";101
"Unit";"Roach";"Larva";103
"Unit";"Roach";"Larva";105
"Unit";"Roach";"Larva";107
"Unit";"Roach";"Larva";109
"Unit";"Roach";"Larva";111
"Unit";"Roach";"Larva";113
"Unit";"Roach";"Larva";115
"Unit";"Roach";"Larva";117
"Unit";"Roach";"Larva";119
"Unit";"Roach";"Larva";121
"Unit";"Roach";"Larva";123
"Unit";"Roach";"Larva";125
"Unit";"Roach";"Larva";127
"Unit";"Roach";"Larva";129
"Unit";"Queen";"Hatchery";142
"Unit";"Roach";"Larva";144
"Unit";"Roach";"Larva";146
"Building";"CreepTumor";NA;148
"Unit";"Roach";"Larva";148
"Unit";"Roach";"Larva";150
"Unit";"Roach";"Larva";152
"Unit";"Roach";"Larva";154
"Unit";"Roach";"Larva";156
"Unit";"Roach";"Larva";158
"Unit";"Roach";"Larva";160
"Unit";"Roach";"Larva";162
"Unit";"Roach";"Larva";164
"Unit";"Roach";"Larva";166
"Unit";"Overlord";"Larva";168
"Upgrade";"SprayZerg";NA;169
"Upgrade";"SprayZerg";NA;169
"Upgrade";"SprayZerg";NA;169
"Upgrade";"zerglingmovementspeed";NA;169
"Upgrade";"SprayZerg";NA;169
