"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Building";"Hatchery";NA;16;0
"Building";"SpawningPool";NA;19;0
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Overlord";"Larva";23;0
"Unit";"Queen";"Hatchery";23;2
"Building";"Hatchery";NA;23;0
"Unit";"Overlord";"Larva";34;0
"Unit";"Queen";"Hatchery";32;2
"Building";"SporeCrawler";NA;36;0
"Unit";"Queen";"Hatchery";36;2
"Unit";"Overlord";"Larva";40;0
"Unit";"Overlord";"Larva";45;0
"Unit";"Overlord";"Larva";49;0
"Unit";"Overlord";"Larva";54;0
"Building";"Extractor";NA;62;0
"Building";"Extractor";NA;62;0
"Building";"SporeCrawler";NA;63;0
"Building";"SporeCrawler";NA;63;0
"Unit";"Overlord";"Larva";68;0
"Unit";"Overlord";"Larva";68;0
"Building";"RoachWarren";NA;63;0
"Building";"Extractor";NA;68;0
"Unit";"Overlord";"Larva";72;0
"Unit";"Roach";"Larva";78;2
"Building";"Extractor";NA;78;0
"Unit";"Roach";"Larva";78;2
"Unit";"Roach";"Larva";78;2
"Unit";"Roach";"Larva";78;2
"Unit";"Roach";"Larva";78;2
"Unit";"Roach";"Larva";78;2
"Building";"Extractor";NA;78;0
"Building";"CreepTumorQueen";NA;78;0
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Building";"CreepTumorQueen";NA;98;0
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Overlord";"Larva";98;0
"Unit";"Overlord";"Larva";98;0
"Unit";"Overlord";"Larva";98;0
"Unit";"Overlord";"Larva";98;0
"Unit";"Queen";"Hatchery";98;2
"Unit";"Roach";"Larva";98;2
"Unit";"Roach";"Larva";98;2
"Unit";"Roach";"Larva";98;2
"Building";"Hatchery";NA;78;0
"Unit";"Overlord";"Larva";116;0
"Unit";"Overlord";"Larva";116;0
"Building";"Spire";NA;78;0
"Unit";"Queen";"Hatchery";98;2
"Unit";"Roach";"Larva";116;2
"Building";"CreepTumor";NA;124;0
"Unit";"Roach";"Larva";116;2
"Unit";"Roach";"Larva";116;2
"Unit";"Roach";"Larva";116;2
"Unit";"Roach";"Larva";116;2
"Unit";"Roach";"Larva";116;2
"Unit";"Roach";"Larva";116;2
"Building";"CreepTumorQueen";NA;124;0
"Building";"EvolutionChamber";NA;124;0
"Unit";"Mutalisk";"Larva";124;2
"Unit";"Mutalisk";"Larva";124;2
"Unit";"Mutalisk";"Larva";124;2
"Unit";"Mutalisk";"Larva";124;2
"Unit";"Mutalisk";"Larva";126;2
"Building";"CreepTumor";NA;156;0
"Building";"CreepTumor";NA;156;0
"Unit";"Mutalisk";"Larva";146;2
"Unit";"Mutalisk";"Larva";146;2
"Unit";"Mutalisk";"Larva";146;2
"Unit";"Mutalisk";"Larva";146;2
"Unit";"Mutalisk";"Larva";146;2
"Unit";"Overlord";"Larva";158;0
"Unit";"Queen";"Hatchery";156;2
"Unit";"Mutalisk";"Larva";158;2
"Unit";"Mutalisk";"Larva";158;2
"Unit";"Mutalisk";"Larva";158;2
"Upgrade";"GlialReconstitution";"RoachWarren";140;0
"Building";"Extractor";NA;168;0
"Unit";"Mutalisk";"Larva";168;2
"Unit";"Mutalisk";"Larva";168;2
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Overlord";"Larva";176;0
"Unit";"Overlord";"Larva";176;0
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Building";"EvolutionChamber";NA;170;0
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Zergling";"Larva";176;1
"Unit";"Mutalisk";"Larva";176;2
"Unit";"Mutalisk";"Larva";176;2
"Unit";"Overlord";"Larva";180;0
"Unit";"Overlord";"Larva";180;0
"Unit";"Overlord";"Larva";180;0
"Unit";"Overlord";"Larva";180;0
