"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Hatchery";NA;17;0
"Building";"Extractor";NA;19;0
"Building";"SpawningPool";NA;19;0
"Unit";"Overlord";"Larva";22;0
"Unit";"Queen";"Hatchery";24;2
"Unit";"Queen";"Hatchery";26;2
"Unit";"Zergling";"Larva";28;1
"Unit";"Zergling";"Larva";29;1
"Building";"Hatchery";NA;35;0
"Building";"CreepTumorQueen";NA;35;0
"Unit";"Overlord";"Larva";35;0
"Unit";"Queen";"Hatchery";35;2
"Building";"CreepTumor";NA;41;0
"Unit";"Overlord";"Larva";46;0
"Unit";"Overlord";"Larva";46;0
"Unit";"Overlord";"Larva";46;0
"Building";"CreepTumor";NA;55;0
"Unit";"Overlord";"Larva";55;0
"Unit";"Queen";"Hatchery";55;2
"Unit";"Queen";"Hatchery";59;2
"Building";"Extractor";NA;64;0
"Unit";"Overlord";"Larva";68;0
"Building";"Extractor";NA;68;0
"Unit";"Zergling";"Larva";68;1
"Unit";"Zergling";"Larva";69;1
"Unit";"Zergling";"Larva";70;1
"Unit";"Zergling";"Larva";71;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";73;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";75;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";77;1
"Building";"CreepTumor";NA;78;0
"Building";"HydraliskDen";NA;78;0
"Building";"CreepTumorQueen";NA;78;0
"Unit";"Overlord";"Larva";86;0
"Building";"Extractor";NA;86;0
"Unit";"Overlord";"Larva";87;0
"Building";"CreepTumor";NA;87;0
"Unit";"Overlord";"Larva";87;0
"Unit";"Overlord";"Larva";89;0
"Building";"Extractor";NA;89;0
"Unit";"Overlord";"Larva";89;0
"Building";"Hatchery";NA;89;0
"Building";"Extractor";NA;101;0
"Building";"SporeCrawler";NA;101;0
"Building";"SporeCrawler";NA;101;0
"Building";"SporeCrawler";NA;101;0
"Building";"CreepTumor";NA;101;0
"Building";"CreepTumorQueen";NA;104;0
"Building";"LurkerDenMP";NA;104;0
"Building";"CreepTumor";NA;104;0
"Unit";"Hydralisk";"Larva";104;2
"Unit";"Hydralisk";"Larva";106;2
"Unit";"Hydralisk";"Larva";108;2
"Unit";"Hydralisk";"Larva";110;2
"Unit";"Hydralisk";"Larva";112;2
"Unit";"Hydralisk";"Larva";114;2
"Unit";"Hydralisk";"Larva";116;2
"Unit";"Hydralisk";"Larva";118;2
"Building";"Extractor";NA;123;0
"Building";"CreepTumor";NA;123;0
"Building";"Extractor";NA;128;0
"Building";"Hatchery";NA;128;0
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";129;1
"Unit";"Zergling";"Larva";130;1
"Unit";"Zergling";"Larva";131;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";134;1
"Unit";"Zergling";"Larva";135;1
"Unit";"Zergling";"Larva";136;1
"Unit";"Zergling";"Larva";137;1
"Unit";"Zergling";"Larva";138;1
"Unit";"Zergling";"Larva";139;1
"Building";"SporeCrawler";NA;140;0
"Building";"Spire";NA;143;0
"Building";"CreepTumorQueen";NA;143;0
"Building";"CreepTumorQueen";NA;143;0
"Building";"CreepTumorQueen";NA;143;0
"Unit";"Hydralisk";"Larva";143;2
"Unit";"Hydralisk";"Larva";145;2
"Unit";"Hydralisk";"Larva";147;2
"Unit";"Hydralisk";"Larva";149;2
"Unit";"Hydralisk";"Larva";151;2
"Unit";"Overlord";"Larva";153;0
"Unit";"Overlord";"Larva";153;0
"Building";"CreepTumor";NA;153;0
"Unit";"Overlord";"Larva";153;0
"Unit";"Overlord";"Larva";153;0
"Unit";"Overlord";"Larva";153;0
"Building";"EvolutionChamber";NA;166;0
"Building";"EvolutionChamber";NA;166;0
"Building";"Extractor";NA;166;0
"Building";"Extractor";NA;166;0
"Unit";"Overlord";"Larva";166;0
"Unit";"Mutalisk";"Larva";166;2
"Unit";"Mutalisk";"Larva";168;2
"Unit";"Mutalisk";"Larva";170;2
"Unit";"Mutalisk";"Larva";172;2
"Unit";"Mutalisk";"Larva";174;2
"Unit";"Mutalisk";"Larva";176;2
"Unit";"Mutalisk";"Larva";178;2
"Unit";"Mutalisk";"Larva";180;2
"Unit";"Mutalisk";"Larva";182;2
"Unit";"Mutalisk";"Larva";184;2
"Unit";"Mutalisk";"Larva";186;2
"Unit";"Mutalisk";"Larva";188;2
"Unit";"Mutalisk";"Larva";190;2
"Unit";"Mutalisk";"Larva";192;2
"Unit";"Mutalisk";"Larva";194;2
"Unit";"Mutalisk";"Larva";196;2
"Building";"SporeCrawler";NA;198;0
"Building";"SporeCrawler";NA;198;0
"Building";"SpineCrawler";NA;198;0
"Building";"CreepTumor";NA;198;0
"Building";"CreepTumor";NA;198;0
"Building";"CreepTumor";NA;198;0
"Building";"SpineCrawler";NA;198;0
"Building";"SpineCrawler";NA;198;0
"Building";"CreepTumor";NA;198;0
"Building";"CreepTumorQueen";NA;198;0
"Building";"CreepTumorQueen";NA;198;0
"Unit";"Hydralisk";"Larva";198;2
"Unit";"Hydralisk";"Larva";200;2
"Unit";"Hydralisk";"Larva";202;2
"Unit";"Hydralisk";"Larva";204;2
"Unit";"Hydralisk";"Larva";206;2
"Unit";"Hydralisk";"Larva";208;2
"Unit";"Zergling";"Larva";210;1
"Unit";"Zergling";"Larva";211;1
"Unit";"Zergling";"Larva";212;1
"Unit";"Zergling";"Larva";213;1
"Unit";"Zergling";"Larva";214;1
"Unit";"Zergling";"Larva";215;1
"Unit";"Zergling";"Larva";216;1
"Unit";"Zergling";"Larva";217;1
"Unit";"Zergling";"Larva";218;1
"Unit";"Zergling";"Larva";219;1
"Unit";"Zergling";"Larva";220;1
"Unit";"Zergling";"Larva";221;1
"Unit";"Zergling";"Larva";222;1
"Unit";"Zergling";"Larva";223;1
"Building";"SporeCrawler";NA;224;0
"Building";"SporeCrawler";NA;224;0
"Building";"SporeCrawler";NA;224;0
"Unit";"Mutalisk";"Larva";224;2
"Unit";"Mutalisk";"Larva";226;2
"Unit";"Mutalisk";"Larva";228;2
"Unit";"Mutalisk";"Larva";230;2
"Unit";"Hydralisk";"Larva";232;2
"Unit";"Hydralisk";"Larva";234;2
"Unit";"Hydralisk";"Larva";236;2
"Building";"SporeCrawler";NA;238;0
"Building";"SporeCrawler";NA;238;0
"Building";"SporeCrawler";NA;238;0
"Building";"SporeCrawler";NA;238;0
"Building";"SporeCrawler";NA;238;0
"Unit";"Mutalisk";"Larva";238;2
"Unit";"Mutalisk";"Larva";240;2
"Unit";"Mutalisk";"Larva";242;2
"Unit";"Mutalisk";"Larva";244;2
"Unit";"Mutalisk";"Larva";246;2
"Unit";"Mutalisk";"Larva";248;2
"Unit";"Mutalisk";"Larva";250;2
"Unit";"Mutalisk";"Larva";252;2
"Unit";"Mutalisk";"Larva";254;2
"Unit";"Mutalisk";"Larva";256;2
"Unit";"Mutalisk";"Larva";258;2
"Unit";"Hydralisk";"Larva";260;2
"Unit";"Hydralisk";"Larva";262;2
"Unit";"Hydralisk";"Larva";264;2
"Unit";"Hydralisk";"Larva";266;2
"Unit";"Hydralisk";"Larva";268;2
"Unit";"Hydralisk";"Larva";270;2
"Unit";"Hydralisk";"Larva";272;2
"Unit";"Hydralisk";"Larva";274;2
"Unit";"Hydralisk";"Larva";276;2
"Unit";"Mutalisk";"Larva";278;2
"Unit";"Mutalisk";"Larva";280;2
"Unit";"Mutalisk";"Larva";282;2
"Unit";"Mutalisk";"Larva";284;2
"Unit";"Mutalisk";"Larva";286;2
"Unit";"Mutalisk";"Larva";288;2
"Unit";"Mutalisk";"Larva";290;2
"Unit";"Mutalisk";"Larva";292;2
"Unit";"Mutalisk";"Larva";294;2
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"zerglingmovementspeed";NA;296;0
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"EvolveMuscularAugments";NA;296;0
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"SprayZerg";NA;296;0
"Upgrade";"EvolveGroovedSpines";NA;296;0
"Upgrade";"ZergMissileWeaponsLevel1";NA;296;0
"Upgrade";"ZergMeleeWeaponsLevel1";NA;296;0
"Upgrade";"ZergFlyerWeaponsLevel1";NA;296;0
