"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Hatchery";NA;17;0
"Building";"Extractor";NA;19;0
"Building";"SpawningPool";NA;19;0
"Unit";"Overlord";"Larva";21;0
"Unit";"Queen";"Hatchery";24;2
"Unit";"Queen";"Hatchery";26;2
"Unit";"Zergling";"Larva";28;1
"Unit";"Zergling";"Larva";29;1
"Unit";"Zergling";"Larva";32;1
"Unit";"Zergling";"Larva";33;1
"Building";"Hatchery";NA;34;0
"Building";"CreepTumorQueen";NA;37;0
"Unit";"Queen";"Hatchery";40;2
"Unit";"Overlord";"Larva";42;0
"Building";"EvolutionChamber";NA;42;0
"Building";"CreepTumor";NA;48;0
"Unit";"Overlord";"Larva";49;0
"Building";"CreepTumorQueen";NA;50;0
"Unit";"Overlord";"Larva";50;0
"Unit";"Overlord";"Larva";50;0
"Unit";"Queen";"Hatchery";50;2
"Building";"SporeCrawler";NA;61;0
"Building";"SporeCrawler";NA;61;0
"Building";"SporeCrawler";NA;66;0
"Building";"CreepTumorQueen";NA;69;0
"Building";"BanelingNest";NA;71;0
"Unit";"Zergling";"Larva";71;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";73;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";75;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Overlord";"Larva";77;0
"Unit";"Overlord";"Larva";81;0
"Unit";"Overlord";"Larva";81;0
"Unit";"Zergling";"Larva";81;1
"Unit";"Zergling";"Larva";82;1
"Unit";"Zergling";"Larva";83;1
"Unit";"Zergling";"Larva";84;1
"Unit";"Zergling";"Larva";85;1
"Unit";"Zergling";"Larva";86;1
"Unit";"Zergling";"Larva";87;1
"Unit";"Zergling";"Larva";88;1
"Unit";"Zergling";"Larva";89;1
"Unit";"Zergling";"Larva";90;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";92;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";94;1
"Unit";"Zergling";"Larva";95;1
"Unit";"Zergling";"Larva";96;1
"Unit";"Overlord";"Larva";97;0
"Unit";"Overlord";"Larva";97;0
"Unit";"Zergling";"Larva";97;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";99;1
"Unit";"Zergling";"Larva";100;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";102;1
"Unit";"Zergling";"Larva";103;1
"Unit";"Zergling";"Larva";104;1
"Unit";"Zergling";"Larva";105;1
"Unit";"Zergling";"Larva";106;1
"Unit";"Zergling";"Larva";107;1
"Unit";"Zergling";"Larva";108;1
"Unit";"Zergling";"Larva";109;1
"Unit";"Zergling";"Larva";110;1
"Unit";"Zergling";"Larva";111;1
"Unit";"Zergling";"Larva";112;1
"Building";"Extractor";NA;113;0
"Unit";"Zergling";"Larva";113;1
"Unit";"Zergling";"Larva";114;1
"Unit";"Zergling";"Larva";115;1
"Unit";"Zergling";"Larva";116;1
"Unit";"Zergling";"Larva";117;1
"Unit";"Zergling";"Larva";118;1
"Building";"Hatchery";NA;119;0
"Unit";"Baneling";"Zergling";119;0
"Unit";"Baneling";"Zergling";119;0
"Unit";"Baneling";"Zergling";119;0
"Unit";"Baneling";"Zergling";119;0
"Unit";"Baneling";"Zergling";119;0
"Unit";"Baneling";"Zergling";119;0
"Unit";"Baneling";"Zergling";119;0
"Building";"Extractor";NA;119;0
"Building";"CreepTumorQueen";NA;119;0
"Building";"Extractor";NA;119;0
"Unit";"Zergling";"Larva";119;1
"Unit";"Zergling";"Larva";120;1
"Unit";"Zergling";"Larva";121;1
"Unit";"Zergling";"Larva";122;1
"Unit";"Zergling";"Larva";123;1
"Unit";"Zergling";"Larva";124;1
"Unit";"Zergling";"Larva";125;1
"Unit";"Zergling";"Larva";126;1
"Unit";"Zergling";"Larva";127;1
"Unit";"Zergling";"Larva";128;1
"Building";"Extractor";NA;129;0
"Building";"Extractor";NA;132;0
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";141;1
"Unit";"Zergling";"Larva";142;1
"Unit";"Zergling";"Larva";143;1
"Unit";"Zergling";"Larva";144;1
"Unit";"Zergling";"Larva";145;1
"Unit";"Zergling";"Larva";146;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";148;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";150;1
"Unit";"Zergling";"Larva";151;1
"Unit";"Zergling";"Larva";152;1
"Unit";"Zergling";"Larva";153;1
"Unit";"Zergling";"Larva";154;1
"Building";"SporeCrawler";NA;155;0
"Building";"SporeCrawler";NA;155;0
"Building";"SporeCrawler";NA;155;0
"Building";"SporeCrawler";NA;155;0
"Building";"SporeCrawler";NA;155;0
"Unit";"Zergling";"Larva";155;1
"Unit";"Zergling";"Larva";156;1
"Unit";"Zergling";"Larva";157;1
"Unit";"Zergling";"Larva";158;1
"Unit";"Zergling";"Larva";159;1
"Unit";"Zergling";"Larva";160;1
"Unit";"Zergling";"Larva";161;1
"Unit";"Zergling";"Larva";162;1
"Unit";"Zergling";"Larva";163;1
"Unit";"Zergling";"Larva";164;1
"Building";"HydraliskDen";NA;166;0
"Unit";"Queen";"Hatchery";166;2
"Unit";"Queen";"Hatchery";168;2
"Unit";"Queen";"Hatchery";170;2
"Building";"SporeCrawler";NA;178;0
"Building";"SporeCrawler";NA;184;0
"Building";"SporeCrawler";NA;188;0
"Building";"SporeCrawler";NA;188;0
"Unit";"Overlord";"Larva";188;0
"Unit";"Overlord";"Larva";188;0
"Unit";"Overlord";"Larva";188;0
"Unit";"Hydralisk";"Larva";189;2
"Unit";"Hydralisk";"Larva";191;2
"Unit";"Hydralisk";"Larva";193;2
"Unit";"Hydralisk";"Larva";195;2
"Unit";"Hydralisk";"Larva";205;2
"Unit";"Hydralisk";"Larva";207;2
"Unit";"Hydralisk";"Larva";209;2
"Unit";"Hydralisk";"Larva";211;2
"Unit";"Hydralisk";"Larva";213;2
"Unit";"Hydralisk";"Larva";215;2
"Unit";"Hydralisk";"Larva";217;2
"Unit";"Hydralisk";"Larva";219;2
"Unit";"Hydralisk";"Larva";221;2
"Unit";"Hydralisk";"Larva";223;2
"Unit";"Hydralisk";"Larva";225;2
"Unit";"Hydralisk";"Larva";227;2
"Unit";"Hydralisk";"Larva";229;2
"Unit";"Hydralisk";"Larva";231;2
"Unit";"Hydralisk";"Larva";233;2
"Unit";"Hydralisk";"Larva";235;2
"Unit";"Overlord";"Larva";244;0
"Unit";"Overlord";"Larva";244;0
"Unit";"Overlord";"Larva";244;0
"Unit";"Overlord";"Larva";244;0
"Building";"CreepTumor";NA;244;0
"Unit";"Baneling";"Zergling";244;0
"Unit";"Baneling";"Zergling";244;0
"Unit";"Baneling";"Zergling";244;0
"Unit";"Baneling";"Zergling";244;0
"Unit";"Overlord";"Larva";244;0
"Unit";"Overlord";"Larva";244;0
"Building";"Extractor";NA;245;0
"Unit";"Hydralisk";"Larva";245;2
"Unit";"Hydralisk";"Larva";247;2
"Unit";"Hydralisk";"Larva";249;2
"Unit";"Hydralisk";"Larva";251;2
"Unit";"Hydralisk";"Larva";253;2
"Unit";"Hydralisk";"Larva";255;2
"Unit";"Hydralisk";"Larva";257;2
"Unit";"Zergling";"Larva";259;1
"Unit";"Zergling";"Larva";260;1
"Unit";"Zergling";"Larva";261;1
"Unit";"Zergling";"Larva";262;1
"Unit";"Zergling";"Larva";263;1
"Unit";"Zergling";"Larva";264;1
"Unit";"Hydralisk";"Larva";265;2
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";268;1
"Building";"CreepTumorQueen";NA;269;0
"Unit";"Zergling";"Larva";269;1
"Unit";"Zergling";"Larva";270;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";272;1
"Unit";"Zergling";"Larva";273;1
"Unit";"Zergling";"Larva";274;1
"Unit";"Zergling";"Larva";275;1
"Unit";"Zergling";"Larva";276;1
"Building";"CreepTumorQueen";NA;277;0
"Building";"CreepTumor";NA;280;0
"Building";"CreepTumor";NA;280;0
"Building";"CreepTumorQueen";NA;280;0
"Unit";"Hydralisk";"Larva";280;2
"Unit";"Hydralisk";"Larva";282;2
"Unit";"Hydralisk";"Larva";284;2
"Unit";"Hydralisk";"Larva";286;2
"Unit";"Hydralisk";"Larva";288;2
"Building";"CreepTumorQueen";NA;290;0
"Unit";"Zergling";"Larva";290;1
"Unit";"Zergling";"Larva";291;1
"Building";"CreepTumorQueen";NA;292;0
"Building";"Hatchery";NA;292;0
"Unit";"Overlord";"Larva";292;0
"Unit";"Overlord";"Larva";292;0
"Building";"CreepTumorQueen";NA;292;0
"Unit";"Zergling";"Larva";292;1
"Unit";"Zergling";"Larva";293;1
"Unit";"Zergling";"Larva";294;1
"Unit";"Zergling";"Larva";295;1
"Unit";"Zergling";"Larva";296;1
"Unit";"Zergling";"Larva";297;1
"Unit";"Zergling";"Larva";298;1
"Unit";"Zergling";"Larva";299;1
"Unit";"Zergling";"Larva";300;1
"Unit";"Zergling";"Larva";301;1
"Unit";"Zergling";"Larva";302;1
"Unit";"Zergling";"Larva";303;1
"Unit";"Zergling";"Larva";304;1
"Unit";"Zergling";"Larva";305;1
"Unit";"Zergling";"Larva";306;1
"Unit";"Zergling";"Larva";307;1
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Baneling";"Zergling";308;0
"Unit";"Zergling";"Larva";308;1
"Unit";"Zergling";"Larva";309;1
"Unit";"Zergling";"Larva";310;1
"Unit";"Zergling";"Larva";311;1
"Unit";"Zergling";"Larva";312;1
"Unit";"Zergling";"Larva";313;1
"Unit";"Zergling";"Larva";314;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";316;1
"Unit";"Zergling";"Larva";317;1
"Unit";"Zergling";"Larva";318;1
"Unit";"Zergling";"Larva";319;1
"Unit";"Zergling";"Larva";320;1
"Unit";"Zergling";"Larva";321;1
"Unit";"Zergling";"Larva";322;1
"Unit";"Zergling";"Larva";323;1
"Unit";"Zergling";"Larva";324;1
"Unit";"Zergling";"Larva";325;1
"Unit";"Zergling";"Larva";326;1
"Unit";"Zergling";"Larva";327;1
"Unit";"Baneling";"Zergling";328;0
"Unit";"Baneling";"Zergling";328;0
"Unit";"Baneling";"Zergling";328;0
"Unit";"Baneling";"Zergling";328;0
"Unit";"Baneling";"Zergling";328;0
"Unit";"Baneling";"Zergling";328;0
"Unit";"Zergling";"Larva";328;1
"Unit";"Zergling";"Larva";329;1
"Unit";"Zergling";"Larva";330;1
"Unit";"Zergling";"Larva";331;1
"Unit";"Zergling";"Larva";332;1
"Unit";"Zergling";"Larva";333;1
"Unit";"Zergling";"Larva";334;1
"Unit";"Zergling";"Larva";335;1
"Unit";"Zergling";"Larva";336;1
"Unit";"Zergling";"Larva";337;1
"Unit";"Zergling";"Larva";338;1
"Unit";"Zergling";"Larva";339;1
"Unit";"Zergling";"Larva";340;1
"Unit";"Zergling";"Larva";341;1
"Unit";"Zergling";"Larva";342;1
"Unit";"Zergling";"Larva";343;1
"Unit";"Zergling";"Larva";344;1
"Unit";"Zergling";"Larva";345;1
"Unit";"Hydralisk";"Larva";346;2
"Unit";"Zergling";"Larva";348;1
"Unit";"Zergling";"Larva";349;1
"Unit";"Overlord";"Larva";350;0
"Building";"CreepTumor";NA;350;0
"Building";"CreepTumor";NA;350;0
"Unit";"Baneling";"Zergling";350;0
"Unit";"Baneling";"Zergling";350;0
"Unit";"Baneling";"Zergling";350;0
"Unit";"Baneling";"Zergling";350;0
"Unit";"Baneling";"Zergling";350;0
"Unit";"Baneling";"Zergling";350;0
"Unit";"Baneling";"Zergling";350;0
"Unit";"Hydralisk";"Larva";350;2
"Unit";"Zergling";"Larva";352;1
"Unit";"Zergling";"Larva";353;1
"Unit";"Hydralisk";"Larva";354;2
"Unit";"Hydralisk";"Larva";356;2
"Unit";"Hydralisk";"Larva";358;2
"Unit";"Hydralisk";"Larva";360;2
"Unit";"Zergling";"Larva";362;1
"Unit";"Zergling";"Larva";363;1
"Unit";"Zergling";"Larva";364;1
"Unit";"Zergling";"Larva";365;1
"Unit";"Hydralisk";"Larva";366;2
"Unit";"Hydralisk";"Larva";368;2
"Unit";"Hydralisk";"Larva";370;2
"Unit";"Hydralisk";"Larva";372;2
"Unit";"Hydralisk";"Larva";374;2
"Unit";"Hydralisk";"Larva";376;2
"Unit";"Hydralisk";"Larva";378;2
"Unit";"Hydralisk";"Larva";380;2
"Unit";"Hydralisk";"Larva";382;2
"Unit";"Hydralisk";"Larva";384;2
"Unit";"Hydralisk";"Larva";386;2
"Unit";"Hydralisk";"Larva";388;2
"Unit";"Zergling";"Larva";390;1
"Unit";"Zergling";"Larva";391;1
"Unit";"Hydralisk";"Larva";392;2
"Unit";"Hydralisk";"Larva";394;2
"Unit";"Hydralisk";"Larva";396;2
"Unit";"Hydralisk";"Larva";398;2
"Unit";"Zergling";"Larva";400;1
"Unit";"Zergling";"Larva";401;1
"Unit";"Hydralisk";"Larva";402;2
"Unit";"Hydralisk";"Larva";404;2
"Unit";"Hydralisk";"Larva";406;2
"Unit";"Zergling";"Larva";408;1
"Unit";"Zergling";"Larva";409;1
"Unit";"Zergling";"Larva";410;1
"Unit";"Zergling";"Larva";411;1
"Unit";"Zergling";"Larva";412;1
"Unit";"Zergling";"Larva";413;1
"Unit";"Zergling";"Larva";414;1
"Unit";"Zergling";"Larva";415;1
"Unit";"Zergling";"Larva";416;1
"Unit";"Zergling";"Larva";417;1
"Unit";"Hydralisk";"Larva";418;2
"Unit";"Hydralisk";"Larva";420;2
"Unit";"Zergling";"Larva";422;1
"Unit";"Zergling";"Larva";423;1
"Unit";"Queen";"Hatchery";424;2
"Unit";"Baneling";"Zergling";426;0
"Unit";"Baneling";"Zergling";426;0
"Unit";"Baneling";"Zergling";426;0
"Unit";"Baneling";"Zergling";426;0
"Unit";"Hydralisk";"Larva";426;2
"Unit";"Hydralisk";"Larva";428;2
"Unit";"Hydralisk";"Larva";430;2
"Unit";"Zergling";"Larva";432;1
"Unit";"Zergling";"Larva";433;1
"Unit";"Zergling";"Larva";434;1
"Unit";"Zergling";"Larva";435;1
"Unit";"Zergling";"Larva";436;1
"Unit";"Zergling";"Larva";437;1
"Unit";"Baneling";"Zergling";438;0
"Unit";"Baneling";"Zergling";438;0
"Unit";"Baneling";"Zergling";438;0
"Unit";"Zergling";"Larva";438;1
"Unit";"Zergling";"Larva";439;1
"Unit";"Zergling";"Larva";440;1
"Unit";"Zergling";"Larva";441;1
"Unit";"Zergling";"Larva";442;1
"Unit";"Zergling";"Larva";443;1
"Unit";"Zergling";"Larva";444;1
"Unit";"Zergling";"Larva";445;1
"Unit";"Zergling";"Larva";446;1
"Unit";"Zergling";"Larva";447;1
"Unit";"Zergling";"Larva";448;1
"Unit";"Zergling";"Larva";449;1
"Unit";"Zergling";"Larva";450;1
"Unit";"Zergling";"Larva";451;1
"Unit";"Baneling";"Zergling";452;0
"Unit";"Baneling";"Zergling";452;0
"Unit";"Baneling";"Zergling";452;0
"Unit";"Baneling";"Zergling";452;0
"Unit";"Baneling";"Zergling";452;0
"Unit";"Baneling";"Zergling";452;0
"Unit";"Baneling";"Zergling";452;0
"Building";"CreepTumor";NA;452;0
"Unit";"Zergling";"Larva";452;1
"Unit";"Zergling";"Larva";453;1
"Unit";"Zergling";"Larva";454;1
"Unit";"Zergling";"Larva";455;1
"Unit";"Zergling";"Larva";456;1
"Unit";"Zergling";"Larva";457;1
"Unit";"Zergling";"Larva";458;1
"Unit";"Zergling";"Larva";459;1
"Unit";"Zergling";"Larva";460;1
"Unit";"Zergling";"Larva";461;1
"Unit";"Zergling";"Larva";462;1
"Unit";"Zergling";"Larva";463;1
"Unit";"Zergling";"Larva";464;1
"Unit";"Zergling";"Larva";465;1
"Unit";"Zergling";"Larva";466;1
"Unit";"Zergling";"Larva";467;1
"Unit";"Zergling";"Larva";468;1
"Unit";"Zergling";"Larva";469;1
"Unit";"Zergling";"Larva";470;1
"Unit";"Zergling";"Larva";471;1
"Unit";"Zergling";"Larva";472;1
"Unit";"Zergling";"Larva";473;1
"Unit";"Zergling";"Larva";474;1
"Unit";"Zergling";"Larva";475;1
"Unit";"Zergling";"Larva";476;1
"Unit";"Zergling";"Larva";477;1
"Unit";"Zergling";"Larva";478;1
"Unit";"Zergling";"Larva";479;1
"Unit";"Zergling";"Larva";480;1
"Unit";"Zergling";"Larva";481;1
"Unit";"Overlord";"Larva";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Baneling";"Zergling";482;0
"Unit";"Zergling";"Larva";482;1
"Unit";"Zergling";"Larva";483;1
"Unit";"Zergling";"Larva";484;1
"Unit";"Zergling";"Larva";485;1
"Unit";"Zergling";"Larva";486;1
"Unit";"Zergling";"Larva";487;1
"Unit";"Zergling";"Larva";488;1
"Unit";"Zergling";"Larva";489;1
"Unit";"Zergling";"Larva";490;1
"Unit";"Zergling";"Larva";491;1
"Unit";"Zergling";"Larva";492;1
"Unit";"Zergling";"Larva";493;1
"Unit";"Zergling";"Larva";494;1
"Unit";"Zergling";"Larva";495;1
"Unit";"Zergling";"Larva";496;1
"Unit";"Zergling";"Larva";497;1
"Unit";"Zergling";"Larva";498;1
"Unit";"Zergling";"Larva";499;1
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"zerglingmovementspeed";NA;500;0
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"ZergMeleeWeaponsLevel1";NA;500;0
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"EvolveMuscularAugments";NA;500;0
"Upgrade";"ZergMissileWeaponsLevel1";NA;500;0
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"CentrificalHooks";NA;500;0
"Upgrade";"overlordspeed";NA;500;0
"Upgrade";"SprayZerg";NA;500;0
"Upgrade";"ZergMeleeWeaponsLevel2";NA;500;0
