"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Unit";"Overlord";"Larva";21;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;17;0
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Queen";"Hatchery";22;2
"Unit";"Queen";"Hatchery";23;2
"Unit";"Overlord";"Larva";34;0
"Unit";"Queen";"Hatchery";30;2
"Building";"Extractor";NA;37;0
"Building";"CreepTumorQueen";NA;40;0
"Unit";"Overlord";"Larva";40;0
"Building";"RoachWarren";NA;37;0
"Unit";"Overlord";"Larva";40;0
"Building";"Extractor";NA;40;0
"Building";"CreepTumor";NA;46;0
"Building";"CreepTumorQueen";NA;46;0
"Unit";"Overlord";"Larva";52;0
"Building";"Extractor";NA;52;0
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Building";"CreepTumorQueen";NA;57;0
"Building";"CreepTumor";NA;57;0
"Building";"CreepTumor";NA;57;0
"Unit";"Roach";"Larva";60;2
"Unit";"Roach";"Larva";60;2
"Unit";"Roach";"Larva";60;2
"Unit";"Roach";"Larva";60;2
"Building";"SporeCrawler";NA;64;0
"Building";"EvolutionChamber";NA;64;0
"Building";"EvolutionChamber";NA;64;0
"Building";"Hatchery";NA;46;0
"Building";"CreepTumor";NA;75;0
"Building";"CreepTumor";NA;75;0
"Building";"HydraliskDen";NA;70;0
"Unit";"Overlord";"Larva";75;0
"Unit";"Overlord";"Larva";75;0
"Unit";"Overlord";"Larva";76;0
"Unit";"Overlord";"Larva";76;0
"Building";"CreepTumor";NA;76;0
"Building";"CreepTumor";NA;76;0
"Unit";"Hydralisk";"Larva";76;2
"Unit";"Hydralisk";"Larva";76;2
"Building";"CreepTumor";NA;76;0
"Unit";"Hydralisk";"Larva";76;2
"Unit";"Hydralisk";"Larva";76;2
"Upgrade";"GlialReconstitution";"RoachWarren";76;0
"Unit";"Hydralisk";"Larva";76;2
"Unit";"Hydralisk";"Larva";76;2
"Unit";"Hydralisk";"Larva";76;2
"Building";"CreepTumor";NA;94;0
"Building";"CreepTumor";NA;100;0
"Building";"InfestationPit";NA;84;0
"Unit";"Hydralisk";"Larva";100;2
"Unit";"Hydralisk";"Larva";100;2
"Unit";"Hydralisk";"Larva";100;2
"Unit";"Hydralisk";"Larva";100;2
"Unit";"Hydralisk";"Larva";100;2
"Upgrade";"EvolveGroovedSpines";"HydraliskDen";94;0
"Unit";"Overlord";"Larva";100;0
"Unit";"Overlord";"Larva";102;0
"Unit";"Overlord";"Larva";104;0
"Unit";"Overlord";"Larva";106;0
"Unit";"Overlord";"Larva";108;0
"Unit";"Overlord";"Larva";110;0
"Upgrade";"ZergMissileWeaponsLevel1";"EvolutionChamber";76;0
"Upgrade";"ZergGroundArmorsLevel1";"EvolutionChamber";76;0
"Building";"Extractor";NA;111;0
"Building";"Extractor";NA;112;0
"Building";"CreepTumor";NA;114;0
"Building";"CreepTumor";NA;114;0
"Upgrade";"EvolveMuscularAugments";"HydraliskDen";120;0
"Unit";"Hydralisk";"Larva";122;2
"Unit";"Hydralisk";"Larva";122;2
"Unit";"Hydralisk";"Larva";122;2
"Unit";"Hydralisk";"Larva";122;2
"Unit";"Hydralisk";"Larva";122;2
"Unit";"Hydralisk";"Larva";122;2
"Unit";"Hydralisk";"Larva";122;2
"Building";"CreepTumor";NA;122;0
"Unit";"Overlord";"Larva";122;0
"Unit";"Overlord";"Larva";122;0
"Unit";"Overlord";"Larva";122;0
"Unit";"Overlord";"Larva";122;0
"Unit";"Overlord";"Larva";122;0
"Building";"CreepTumor";NA;137;0
"Unit";"Roach";"Larva";136;2
"Unit";"Roach";"Larva";136;2
"Unit";"Roach";"Larva";136;2
"Unit";"Roach";"Larva";136;2
"Unit";"Roach";"Larva";136;2
"Unit";"Hydralisk";"Larva";136;2
"Unit";"Hydralisk";"Larva";137;2
"Unit";"Hydralisk";"Larva";137;2
"Unit";"Hydralisk";"Larva";137;2
"Unit";"Hydralisk";"Larva";137;2
"Unit";"Hydralisk";"Larva";137;2
"Unit";"Hydralisk";"Larva";137;2
"Building";"BanelingNest";NA;122;0
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Upgrade";"ZergMeleeWeaponsLevel1";"EvolutionChamber";122;0
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Unit";"Zergling";"Larva";147;1
"Building";"CreepTumor";NA;161;0
"Building";"CreepTumor";NA;161;0
"Building";"CreepTumor";NA;161;0
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
"Unit";"Zergling";"Larva";175;1
