"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Hatchery";NA;17;0
"Building";"Extractor";NA;19;0
"Building";"SpawningPool";NA;19;0
"Unit";"Overlord";"Larva";22;0
"Unit";"Queen";"Hatchery";23;2
"Unit";"Zergling";"Larva";25;1
"Unit";"Zergling";"Larva";26;1
"Unit";"Queen";"Hatchery";27;2
"Unit";"Zergling";"Larva";29;1
"Unit";"Zergling";"Larva";30;1
"Building";"Hatchery";NA;33;0
"Unit";"Queen";"Hatchery";34;2
"Building";"CreepTumorQueen";NA;37;0
"Unit";"Overlord";"Larva";37;0
"Unit";"Overlord";"Larva";42;0
"Building";"CreepTumor";NA;42;0
"Building";"CreepTumorQueen";NA;44;0
"Unit";"Zergling";"Larva";45;1
"Unit";"Zergling";"Larva";46;1
"Unit";"Queen";"Hatchery";47;2
"Unit";"Overlord";"Larva";49;0
"Unit";"Zergling";"Larva";51;1
"Unit";"Zergling";"Larva";52;1
"Building";"CreepTumor";NA;53;0
"Building";"CreepTumor";NA;53;0
"Unit";"Overlord";"Larva";53;0
"Building";"CreepTumorQueen";NA;54;0
"Building";"CreepTumorQueen";NA;57;0
"Unit";"Zergling";"Larva";61;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";63;1
"Unit";"Zergling";"Larva";64;1
"Unit";"Queen";"Hatchery";65;2
"Building";"BanelingNest";NA;67;0
"Unit";"Zergling";"Larva";70;1
"Unit";"Zergling";"Larva";71;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";73;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";75;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";77;1
"Unit";"Zergling";"Larva";78;1
"Unit";"Zergling";"Larva";79;1
"Unit";"Zergling";"Larva";80;1
"Unit";"Zergling";"Larva";81;1
"Unit";"Zergling";"Larva";82;1
"Unit";"Zergling";"Larva";83;1
"Building";"CreepTumorQueen";NA;84;0
"Building";"CreepTumorQueen";NA;84;0
"Building";"SporeCrawler";NA;84;0
"Building";"Extractor";NA;85;0
"Building";"CreepTumor";NA;85;0
"Building";"CreepTumor";NA;86;0
"Unit";"Overlord";"Larva";86;0
"Building";"CreepTumor";NA;87;0
"Unit";"Queen";"Hatchery";89;2
"Unit";"Overlord";"Larva";91;0
"Building";"CreepTumorQueen";NA;95;0
"Building";"CreepTumor";NA;95;0
"Building";"Extractor";NA;95;0
"Building";"Extractor";NA;100;0
"Unit";"Overlord";"Larva";100;0
"Building";"CreepTumor";NA;102;0
"Building";"CreepTumor";NA;102;0
"Building";"CreepTumor";NA;102;0
"Building";"CreepTumorQueen";NA;104;0
"Unit";"Overlord";"Larva";107;0
"Building";"EvolutionChamber";NA;107;0
"Building";"HydraliskDen";NA;110;0
"Building";"CreepTumorQueen";NA;110;0
"Building";"Extractor";NA;113;0
"Building";"Extractor";NA;113;0
"Building";"SporeCrawler";NA;113;0
"Building";"CreepTumor";NA;113;0
"Unit";"Baneling";"Zergling";113;0
"Unit";"Baneling";"Zergling";113;0
"Unit";"Baneling";"Zergling";113;0
"Building";"CreepTumor";NA;113;0
"Building";"CreepTumor";NA;113;0
"Building";"CreepTumor";NA;113;0
"Building";"CreepTumor";NA;113;0
"Building";"CreepTumor";NA;117;0
"Building";"CreepTumor";NA;117;0
"Unit";"Overlord";"Larva";122;0
"Building";"Hatchery";NA;122;0
"Building";"CreepTumorQueen";NA;122;0
"Building";"CreepTumorQueen";NA;122;0
"Building";"CreepTumor";NA;122;0
"Unit";"Overlord";"Larva";122;0
"Building";"CreepTumorQueen";NA;122;0
"Unit";"Hydralisk";"Larva";122;2
"Unit";"Hydralisk";"Larva";124;2
"Unit";"Hydralisk";"Larva";126;2
"Building";"CreepTumor";NA;128;0
"Building";"CreepTumor";NA;128;0
"Building";"CreepTumor";NA;128;0
"Unit";"Hydralisk";"Larva";128;2
"Unit";"Hydralisk";"Larva";130;2
"Unit";"Hydralisk";"Larva";132;2
"Unit";"Hydralisk";"Larva";134;2
"Unit";"Overlord";"Larva";136;0
"Unit";"Overlord";"Larva";137;0
"Building";"CreepTumor";NA;140;0
"Building";"CreepTumor";NA;140;0
"Building";"CreepTumor";NA;140;0
"Building";"CreepTumor";NA;140;0
"Building";"CreepTumor";NA;140;0
"Building";"CreepTumor";NA;140;0
"Unit";"Hydralisk";"Larva";140;2
"Unit";"Hydralisk";"Larva";142;2
"Unit";"Overlord";"Larva";144;0
"Unit";"Overlord";"Larva";144;0
"Unit";"Overlord";"Larva";144;0
"Unit";"Overlord";"Larva";144;0
"Building";"CreepTumor";NA;144;0
"Unit";"Hydralisk";"Larva";144;2
"Unit";"Hydralisk";"Larva";146;2
"Unit";"Hydralisk";"Larva";148;2
"Unit";"Hydralisk";"Larva";150;2
"Unit";"Overlord";"Larva";152;0
"Building";"CreepTumor";NA;152;0
"Building";"CreepTumor";NA;152;0
"Building";"CreepTumor";NA;152;0
"Building";"CreepTumor";NA;152;0
"Unit";"Hydralisk";"Larva";152;2
"Unit";"Hydralisk";"Larva";154;2
"Unit";"Hydralisk";"Larva";156;2
"Unit";"Hydralisk";"Larva";158;2
"Building";"CreepTumorQueen";NA;160;0
"Building";"CreepTumorQueen";NA;160;0
"Building";"CreepTumorQueen";NA;160;0
"Unit";"Hydralisk";"Larva";160;2
"Unit";"Hydralisk";"Larva";162;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";166;2
"Unit";"Hydralisk";"Larva";168;2
"Unit";"Hydralisk";"Larva";170;2
"Building";"CreepTumorQueen";NA;172;0
"Building";"CreepTumorQueen";NA;172;0
"Building";"CreepTumor";NA;172;0
"Building";"CreepTumor";NA;172;0
"Building";"CreepTumorQueen";NA;172;0
"Building";"CreepTumorQueen";NA;172;0
"Building";"CreepTumorQueen";NA;172;0
"Unit";"Overlord";"Larva";172;0
"Building";"CreepTumorQueen";NA;172;0
"Unit";"Queen";"Hatchery";172;2
"Unit";"Hydralisk";"Larva";174;2
"Unit";"Hydralisk";"Larva";176;2
"Unit";"Hydralisk";"Larva";178;2
"Unit";"Hydralisk";"Larva";180;2
"Unit";"Zergling";"Larva";182;1
"Unit";"Zergling";"Larva";183;1
"Unit";"Zergling";"Larva";184;1
"Unit";"Zergling";"Larva";185;1
"Unit";"Zergling";"Larva";186;1
"Unit";"Zergling";"Larva";187;1
"Unit";"Zergling";"Larva";188;1
"Unit";"Zergling";"Larva";189;1
"Unit";"Zergling";"Larva";190;1
"Unit";"Zergling";"Larva";191;1
"Unit";"Zergling";"Larva";192;1
"Unit";"Zergling";"Larva";193;1
"Unit";"Zergling";"Larva";194;1
"Unit";"Zergling";"Larva";195;1
"Unit";"Zergling";"Larva";196;1
"Unit";"Zergling";"Larva";197;1
"Unit";"Hydralisk";"Larva";198;2
"Unit";"Hydralisk";"Larva";200;2
"Unit";"Hydralisk";"Larva";202;2
"Unit";"Hydralisk";"Larva";204;2
"Unit";"Zergling";"Larva";206;1
"Unit";"Zergling";"Larva";207;1
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Building";"CreepTumor";NA;208;0
"Unit";"Hydralisk";"Larva";208;2
"Unit";"Hydralisk";"Larva";210;2
"Unit";"Hydralisk";"Larva";212;2
"Unit";"Hydralisk";"Larva";214;2
"Unit";"Hydralisk";"Larva";216;2
"Unit";"Hydralisk";"Larva";218;2
"Unit";"Zergling";"Larva";220;1
"Unit";"Zergling";"Larva";221;1
"Unit";"Overlord";"Larva";222;0
"Unit";"Zergling";"Larva";222;1
"Unit";"Zergling";"Larva";223;1
"Unit";"Zergling";"Larva";224;1
"Unit";"Zergling";"Larva";225;1
"Unit";"Zergling";"Larva";226;1
"Unit";"Zergling";"Larva";227;1
"Unit";"Zergling";"Larva";228;1
"Unit";"Zergling";"Larva";229;1
"Building";"CreepTumor";NA;230;0
"Building";"CreepTumor";NA;230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Unit";"Baneling";"Zergling";230;0
"Building";"CreepTumor";NA;230;0
"Building";"CreepTumor";NA;230;0
"Unit";"Zergling";"Larva";230;1
"Unit";"Zergling";"Larva";231;1
"Unit";"Zergling";"Larva";232;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";234;1
"Unit";"Zergling";"Larva";235;1
"Unit";"Zergling";"Larva";236;1
"Unit";"Zergling";"Larva";237;1
"Unit";"Zergling";"Larva";238;1
"Unit";"Zergling";"Larva";239;1
"Unit";"Zergling";"Larva";240;1
"Unit";"Zergling";"Larva";241;1
"Unit";"Baneling";"Zergling";242;0
"Unit";"Baneling";"Zergling";242;0
"Unit";"Baneling";"Zergling";242;0
"Unit";"Baneling";"Zergling";242;0
"Unit";"Hydralisk";"Larva";242;2
"Unit";"Hydralisk";"Larva";244;2
"Unit";"Hydralisk";"Larva";246;2
"Unit";"Hydralisk";"Larva";248;2
"Unit";"Hydralisk";"Larva";250;2
"Unit";"Zergling";"Larva";252;1
"Unit";"Zergling";"Larva";253;1
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Baneling";"Zergling";254;0
"Unit";"Hydralisk";"Larva";254;2
"Unit";"Hydralisk";"Larva";256;2
"Unit";"Zergling";"Larva";258;1
"Unit";"Zergling";"Larva";259;1
"Unit";"Zergling";"Larva";260;1
"Unit";"Zergling";"Larva";261;1
"Unit";"Zergling";"Larva";262;1
"Unit";"Zergling";"Larva";263;1
"Unit";"Zergling";"Larva";264;1
"Unit";"Zergling";"Larva";265;1
"Unit";"Zergling";"Larva";266;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";268;1
"Unit";"Zergling";"Larva";269;1
"Unit";"Zergling";"Larva";270;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";272;1
"Unit";"Zergling";"Larva";273;1
"Unit";"Zergling";"Larva";274;1
"Unit";"Zergling";"Larva";275;1
"Unit";"Zergling";"Larva";276;1
"Unit";"Zergling";"Larva";277;1
"Unit";"Zergling";"Larva";278;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";280;1
"Unit";"Zergling";"Larva";281;1
"Unit";"Zergling";"Larva";282;1
"Unit";"Zergling";"Larva";283;1
"Unit";"Zergling";"Larva";284;1
"Unit";"Zergling";"Larva";285;1
"Upgrade";"SprayZerg";NA;286;0
"Upgrade";"SprayZerg";NA;286;0
"Upgrade";"SprayZerg";NA;286;0
"Upgrade";"zerglingmovementspeed";NA;286;0
"Upgrade";"SprayZerg";NA;286;0
"Upgrade";"SprayZerg";NA;286;0
"Upgrade";"EvolveMuscularAugments";NA;286;0
"Upgrade";"SprayZerg";NA;286;0
"Upgrade";"CentrificalHooks";NA;286;0
"Upgrade";"ZergMissileWeaponsLevel1";NA;286;0
