"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Building";"Extractor";NA;19;0
"Unit";"Overlord";"Larva";21;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;17;0
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Queen";"Hatchery";22;2
"Unit";"Overlord";"Larva";25;0
"Unit";"Queen";"Hatchery";23;2
"Unit";"Overlord";"Larva";33;0
"Building";"CreepTumorQueen";NA;39;0
"Unit";"Queen";"Hatchery";33;2
"Unit";"Overlord";"Larva";44;0
"Building";"CreepTumorQueen";NA;51;0
"Building";"CreepTumor";NA;50;0
"Building";"Extractor";NA;51;0
"Building";"Extractor";NA;51;0
"Building";"SporeCrawler";NA;51;0
"Unit";"Overlord";"Larva";51;0
"Unit";"Overlord";"Larva";51;0
"Building";"SporeCrawler";NA;51;0
"Building";"Hatchery";NA;40;0
"Building";"Extractor";NA;51;0
"Building";"CreepTumorQueen";NA;51;0
"Building";"CreepTumor";NA;51;0
"Building";"CreepTumor";NA;51;0
"Building";"SpineCrawler";NA;51;0
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Zergling";"Larva";62;1
"Unit";"Queen";"Hatchery";66;2
"Building";"CreepTumor";NA;79;0
"Building";"CreepTumor";NA;79;0
"Building";"CreepTumor";NA;79;0
"Building";"SporeCrawler";NA;74;0
"Building";"Spire";NA;57;0
"Building";"CreepTumor";NA;84;0
"Building";"CreepTumor";NA;84;0
"Building";"CreepTumor";NA;84;0
"Unit";"Overlord";"Larva";92;0
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Overlord";"Larva";92;0
"Unit";"Overlord";"Larva";92;0
"Building";"CreepTumor";NA;106;0
"Building";"CreepTumor";NA;106;0
"Unit";"Mutalisk";"Larva";106;2
"Unit";"Mutalisk";"Larva";106;2
"Unit";"Mutalisk";"Larva";106;2
"Unit";"Mutalisk";"Larva";106;2
"Unit";"Mutalisk";"Larva";106;2
"Building";"CreepTumor";NA;106;0
"Unit";"Overlord";"Larva";106;0
"Unit";"Overlord";"Larva";106;0
"Unit";"Overlord";"Larva";106;0
"Building";"CreepTumor";NA;122;0
"Unit";"Overlord";"Larva";106;0
"Building";"CreepTumor";NA;122;0
"Building";"EvolutionChamber";NA;123;0
"Building";"EvolutionChamber";NA;123;0
"Unit";"Overlord";"Larva";126;0
"Building";"Extractor";NA;126;0
"Building";"Extractor";NA;126;0
"Building";"BanelingNest";NA;126;0
"Unit";"Mutalisk";"Larva";132;2
"Unit";"Mutalisk";"Larva";137;2
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Zergling";"Larva";149;1
"Unit";"Baneling";"Zergling";149;0
"Unit";"Baneling";"Zergling";149;0
"Unit";"Baneling";"Zergling";149;0
"Unit";"Baneling";"Zergling";149;0
"Unit";"Baneling";"Zergling";149;0
"Unit";"Baneling";"Zergling";149;0
"Unit";"Baneling";"Zergling";149;0
"Unit";"Baneling";"Zergling";149;0
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";181;1
"Building";"CreepTumor";NA;215;0
"Unit";"Queen";"Hatchery";208;2
"Upgrade";"ZergMeleeWeaponsLevel1";"EvolutionChamber";149;0
"Upgrade";"ZergGroundArmorsLevel1";"EvolutionChamber";149;0
"Unit";"Baneling";"Zergling";223;0
"Unit";"Baneling";"Zergling";223;0
"Unit";"Baneling";"Zergling";223;0
"Unit";"Baneling";"Zergling";223;0
"Unit";"Baneling";"Zergling";223;0
"Building";"CreepTumor";NA;223;0
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Overlord";"Larva";223;0
"Unit";"Overlord";"Larva";223;0
"Upgrade";"Burrow";"Hatchery";215;0
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Mutalisk";"Larva";223;2
"Unit";"Mutalisk";"Larva";233;2
"Unit";"Baneling";"Zergling";233;0
"Unit";"Baneling";"Zergling";233;0
"Unit";"Baneling";"Zergling";233;0
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Unit";"Zergling";"Larva";233;1
"Building";"Hatchery";NA;223;0
"Unit";"Overlord";"Larva";266;0
"Unit";"Overlord";"Larva";266;0
"Unit";"Overlord";"Larva";266;0
"Unit";"Overlord";"Larva";266;0
"Unit";"Overlord";"Larva";266;0
"Unit";"Overlord";"Larva";266;0
"Building";"InfestationPit";NA;266;0
"Unit";"Baneling";"Zergling";267;0
"Unit";"Baneling";"Zergling";267;0
"Unit";"Baneling";"Zergling";267;0
"Unit";"Baneling";"Zergling";267;0
"Unit";"Baneling";"Zergling";267;0
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Zergling";"Larva";267;1
"Unit";"Queen";"Hatchery";266;2
"Building";"CreepTumor";NA;277;0
"Building";"CreepTumorQueen";NA;279;0
"Unit";"Overlord";"Larva";279;0
"Unit";"Overlord";"Larva";279;0
"Unit";"Overlord";"Larva";279;0
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Upgrade";"ZergMeleeWeaponsLevel2";"EvolutionChamber";266;0
"Upgrade";"ZergGroundArmorsLevel2";"EvolutionChamber";266;0
"Unit";"Overlord";"Larva";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Baneling";"Zergling";315;0
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Unit";"Zergling";"Larva";315;1
"Building";"Hatchery";NA;279;0
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
"Unit";"Zergling";"Larva";361;1
