"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"SpawningPool";NA;17
"Building";"Extractor";NA;19
"Building";"Hatchery";NA;20
"Unit";"Queen";"Hatchery";22
"Unit";"Zergling";"Larva";24
"Unit";"Zergling";"Larva";25
"Unit";"Overlord";"Larva";26
"Unit";"Queen";"Hatchery";27
"Unit";"Queen";"Hatchery";31
"Building";"Hatchery";NA;35
"Unit";"Overlord";"Larva";39
"Unit";"Overlord";"Larva";41
"Building";"CreepTumorQueen";NA;41
"Unit";"Zergling";"Larva";41
"Unit";"Zergling";"Larva";42
"Unit";"Zergling";"Larva";43
"Unit";"Zergling";"Larva";44
"Unit";"Zergling";"Larva";45
"Unit";"Zergling";"Larva";46
"Unit";"Zergling";"Larva";47
"Unit";"Zergling";"Larva";48
"Unit";"Zergling";"Larva";49
"Unit";"Zergling";"Larva";50
"Unit";"Zergling";"Larva";51
"Unit";"Zergling";"Larva";52
"Unit";"Zergling";"Larva";53
"Unit";"Zergling";"Larva";54
"Unit";"Zergling";"Larva";55
"Unit";"Zergling";"Larva";56
"Unit";"Overlord";"Larva";59
"Unit";"Overlord";"Larva";65
"Unit";"Queen";"Hatchery";65
"Building";"CreepTumor";NA;70
"Unit";"Queen";"Hatchery";70
"Building";"CreepTumorQueen";NA;72
"Unit";"Zergling";"Larva";74
"Unit";"Zergling";"Larva";75
"Unit";"Zergling";"Larva";76
"Unit";"Zergling";"Larva";77
"Unit";"Zergling";"Larva";78
"Unit";"Zergling";"Larva";79
"Unit";"Zergling";"Larva";80
"Unit";"Zergling";"Larva";81
"Unit";"Zergling";"Larva";82
"Unit";"Zergling";"Larva";83
"Unit";"Zergling";"Larva";84
"Unit";"Zergling";"Larva";85
"Unit";"Overlord";"Larva";86
"Building";"Extractor";NA;92
"Building";"RoachWarren";NA;92
"Building";"Extractor";NA;92
"Building";"SporeCrawler";NA;95
"Building";"SporeCrawler";NA;95
"Building";"SporeCrawler";NA;95
"Unit";"Overlord";"Larva";98
"Building";"CreepTumor";NA;100
"Building";"CreepTumor";NA;100
"Unit";"Overlord";"Larva";102
"Unit";"Overlord";"Larva";102
"Unit";"Roach";"Larva";102
"Unit";"Roach";"Larva";104
"Unit";"Roach";"Larva";106
"Unit";"Overlord";"Larva";108
"Unit";"Roach";"Larva";108
"Building";"Extractor";NA;110
"Building";"EvolutionChamber";NA;115
"Building";"EvolutionChamber";NA;116
"Upgrade";"GlialReconstitution";"RoachWarren";120
"Building";"CreepTumor";NA;125
"Unit";"Overlord";"Larva";125
"Building";"Extractor";NA;125
"Building";"Extractor";NA;126
"Building";"Hatchery";NA;131
"Unit";"Roach";"Larva";132
"Unit";"Roach";"Larva";134
