"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"SpawningPool";NA;17;0
"Building";"Extractor";NA;19;0
"Building";"Hatchery";NA;19;0
"Unit";"Zergling";"Larva";19;1
"Unit";"Zergling";"Larva";20;1
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Queen";"Hatchery";25;2
"Building";"RoachWarren";NA;28;0
"Unit";"Overlord";"Larva";29;0
"Unit";"Roach";"Larva";32;2
"Unit";"Roach";"Larva";34;2
"Unit";"Roach";"Larva";36;2
"Unit";"Roach";"Larva";38;2
"Unit";"Roach";"Larva";40;2
"Unit";"Overlord";"Larva";42;0
"Unit";"Queen";"Hatchery";44;2
"Unit";"Overlord";"Larva";53;0
"Unit";"Overlord";"Larva";54;0
"Unit";"Queen";"Hatchery";61;2
"Building";"Extractor";NA;63;0
"Building";"Extractor";NA;63;0
"Building";"Hatchery";NA;69;0
"Building";"Extractor";NA;69;0
"Building";"SporeCrawler";NA;69;0
"Building";"SporeCrawler";NA;69;0
"Unit";"Queen";"Hatchery";69;2
"Unit";"Overlord";"Larva";72;0
"Building";"CreepTumorQueen";NA;72;0
"Unit";"Overlord";"Larva";73;0
"Building";"Spire";NA;73;0
"Building";"CreepTumorQueen";NA;80;0
"Unit";"Roach";"Larva";80;2
"Unit";"Roach";"Larva";82;2
"Unit";"Roach";"Larva";84;2
"Unit";"Overlord";"Larva";86;0
"Unit";"Overlord";"Larva";86;0
"Unit";"Overlord";"Larva";87;0
"Building";"CreepTumor";NA;95;0
"Upgrade";"GlialReconstitution";"RoachWarren";102;0
"Unit";"Mutalisk";"Larva";102;2
"Unit";"Mutalisk";"Larva";104;2
"Unit";"Mutalisk";"Larva";106;2
"Unit";"Mutalisk";"Larva";108;2
"Unit";"Mutalisk";"Larva";110;2
"Unit";"Mutalisk";"Larva";112;2
"Unit";"Mutalisk";"Larva";114;2
"Unit";"Overlord";"Larva";116;0
"Unit";"Mutalisk";"Larva";116;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Overlord";"Larva";120;0
"Unit";"Overlord";"Larva";120;0
"Unit";"Overlord";"Larva";120;0
"Unit";"Overlord";"Larva";120;0
"Building";"CreepTumor";NA;120;0
"Building";"CreepTumorQueen";NA;120;0
"Building";"CreepTumorQueen";NA;120;0
"Building";"Extractor";NA;126;0
"Building";"CreepTumorQueen";NA;126;0
"Unit";"Roach";"Larva";126;2
"Unit";"Roach";"Larva";128;2
"Unit";"Roach";"Larva";130;2
"Unit";"Roach";"Larva";132;2
"Unit";"Roach";"Larva";134;2
"Unit";"Roach";"Larva";136;2
"Unit";"Roach";"Larva";138;2
"Unit";"Roach";"Larva";140;2
"Unit";"Roach";"Larva";142;2
"Unit";"Roach";"Larva";144;2
"Unit";"Roach";"Larva";146;2
"Unit";"Roach";"Larva";148;2
"Unit";"Overlord";"Larva";150;0
"Unit";"Roach";"Larva";150;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";154;2
"Unit";"Roach";"Larva";156;2
"Unit";"Roach";"Larva";158;2
"Unit";"Roach";"Larva";160;2
"Unit";"Overlord";"Larva";162;0
"Unit";"Overlord";"Larva";162;0
"Unit";"Overlord";"Larva";162;0
"Upgrade";"SprayZerg";NA;162;0
"Upgrade";"SprayZerg";NA;162;0
"Upgrade";"SprayZerg";NA;162;0
"Upgrade";"SprayZerg";NA;162;0
