"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;17;0
"Building";"Extractor";NA;23;0
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Queen";"Hatchery";23;2
"Unit";"Queen";"Hatchery";24;2
"Unit";"Overlord";"Larva";26;0
"Building";"Hatchery";NA;22;0
"Unit";"Overlord";"Larva";34;0
"Unit";"Overlord";"Larva";34;0
"Unit";"Queen";"Hatchery";34;2
"Unit";"Overlord";"Larva";41;0
"Unit";"Overlord";"Larva";50;0
"Building";"CreepTumorQueen";NA;50;0
"Building";"CreepTumorQueen";NA;50;0
"Unit";"Queen";"Hatchery";50;2
"Unit";"Queen";"Hatchery";50;2
"Unit";"Queen";"Hatchery";50;2
"Building";"CreepTumorQueen";NA;57;0
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";57;1
"Unit";"Zergling";"Larva";61;1
"Unit";"Zergling";"Larva";61;1
"Unit";"Zergling";"Larva";61;1
"Unit";"Zergling";"Larva";61;1
"Unit";"Zergling";"Larva";61;1
"Unit";"Zergling";"Larva";61;1
"Building";"CreepTumor";NA;78;0
"Building";"CreepTumorQueen";NA;78;0
"Building";"CreepTumorQueen";NA;82;0
"Building";"CreepTumorQueen";NA;84;0
"Building";"CreepTumor";NA;84;0
"Unit";"Overlord";"Larva";84;0
"Unit";"Overlord";"Larva";84;0
"Unit";"Overlord";"Larva";84;0
"Unit";"Queen";"Hatchery";63;2
"Building";"CreepTumorQueen";NA;87;0
"Building";"CreepTumorQueen";NA;87;0
"Unit";"Overlord";"Larva";87;0
"Building";"CreepTumor";NA;88;0
"Building";"CreepTumor";NA;88;0
"Building";"CreepTumor";NA;90;0
"Building";"CreepTumor";NA;90;0
"Building";"CreepTumorQueen";NA;90;0
"Building";"CreepTumor";NA;90;0
"Building";"SporeCrawler";NA;90;0
"Building";"SporeCrawler";NA;90;0
"Building";"CreepTumorQueen";NA;90;0
"Building";"SporeCrawler";NA;90;0
"Unit";"Overlord";"Larva";90;0
"Building";"CreepTumorQueen";NA;95;0
"Building";"CreepTumorQueen";NA;95;0
"Building";"CreepTumor";NA;95;0
"Building";"CreepTumor";NA;95;0
"Building";"CreepTumorQueen";NA;95;0
"Building";"Extractor";NA;90;0
"Building";"Extractor";NA;90;0
"Building";"CreepTumor";NA;103;0
"Building";"CreepTumor";NA;103;0
"Building";"CreepTumorQueen";NA;103;0
"Building";"CreepTumorQueen";NA;103;0
"Building";"CreepTumor";NA;103;0
"Building";"Extractor";NA;101;0
"Building";"CreepTumor";NA;103;0
"Building";"Extractor";NA;103;0
"Unit";"Queen";"Hatchery";95;2
"Building";"Extractor";NA;108;0
"Building";"CreepTumor";NA;115;0
"Building";"CreepTumor";NA;115;0
"Building";"CreepTumor";NA;115;0
"Building";"CreepTumor";NA;115;0
"Building";"BanelingNest";NA;103;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumorQueen";NA;118;0
"Building";"CreepTumorQueen";NA;118;0
"Building";"CreepTumorQueen";NA;118;0
"Building";"CreepTumorQueen";NA;118;0
"Building";"HydraliskDen";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"EvolutionChamber";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;130;0
"Unit";"Overlord";"Larva";130;0
"Unit";"Overlord";"Larva";130;0
"Building";"RoachWarren";NA;118;0
"Building";"CreepTumor";NA;130;0
"Building";"Hatchery";NA;108;0
"Unit";"Overlord";"Larva";130;0
"Building";"InfestationPit";NA;118;0
"Unit";"Hydralisk";"Larva";130;2
"Unit";"Hydralisk";"Larva";130;2
"Unit";"Baneling";"Zergling";130;0
"Unit";"Baneling";"Zergling";130;0
