"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Unit";"Overlord";"Larva";21;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;17;0
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Queen";"Hatchery";22;2
"Unit";"Queen";"Hatchery";22;2
"Unit";"Overlord";"Larva";29;0
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";34;1
"Unit";"Zergling";"Larva";34;1
"Unit";"Zergling";"Larva";34;1
"Unit";"Zergling";"Larva";34;1
"Building";"CreepTumorQueen";NA;36;0
"Unit";"Zergling";"Larva";42;1
"Unit";"Zergling";"Larva";42;1
"Unit";"Zergling";"Larva";42;1
"Unit";"Zergling";"Larva";42;1
"Unit";"Zergling";"Larva";42;1
"Unit";"Zergling";"Larva";42;1
"Unit";"Zergling";"Larva";42;1
"Unit";"Zergling";"Larva";42;1
"Unit";"Overlord";"Larva";46;0
"Building";"Hatchery";NA;26;0
"Unit";"Zergling";"Larva";46;1
"Unit";"Zergling";"Larva";46;1
"Unit";"Zergling";"Larva";46;1
"Unit";"Zergling";"Larva";46;1
"Unit";"Overlord";"Larva";54;0
"Unit";"Overlord";"Larva";59;0
"Building";"CreepTumor";NA;66;0
"Unit";"Queen";"Hatchery";63;2
"Unit";"Overlord";"Larva";81;0
"Unit";"Overlord";"Larva";81;0
"Building";"CreepTumorQueen";NA;87;0
"Unit";"Queen";"Hatchery";84;2
"Building";"SporeCrawler";NA;87;0
"Building";"SporeCrawler";NA;87;0
"Building";"SporeCrawler";NA;87;0
"Building";"BanelingNest";NA;85;0
"Building";"CreepTumor";NA;108;0
"Building";"Extractor";NA;99;0
"Building";"Extractor";NA;99;0
"Building";"CreepTumorQueen";NA;108;0
"Building";"EvolutionChamber";NA;99;0
"Building";"EvolutionChamber";NA;99;0
"Unit";"Overlord";"Larva";108;0
"Unit";"Overlord";"Larva";108;0
"Unit";"Zergling";"Larva";108;1
"Unit";"Zergling";"Larva";108;1
"Unit";"Zergling";"Larva";108;1
"Unit";"Zergling";"Larva";108;1
"Unit";"Zergling";"Larva";108;1
"Unit";"Zergling";"Larva";108;1
"Building";"CreepTumor";NA;118;0
"Building";"CreepTumor";NA;118;0
"Building";"Extractor";NA;112;0
"Building";"CreepTumorQueen";NA;118;0
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Overlord";"Larva";118;0
"Unit";"Overlord";"Larva";118;0
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Building";"CreepTumor";NA;118;0
"Building";"Extractor";NA;118;0
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Baneling";"Zergling";122;0
"Unit";"Baneling";"Zergling";122;0
"Unit";"Baneling";"Zergling";122;0
"Unit";"Baneling";"Zergling";122;0
"Unit";"Baneling";"Zergling";122;0
"Unit";"Baneling";"Zergling";122;0
"Building";"Extractor";NA;118;0
"Unit";"Baneling";"Zergling";132;0
"Unit";"Baneling";"Zergling";132;0
"Unit";"Baneling";"Zergling";132;0
"Unit";"Baneling";"Zergling";132;0
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Baneling";"Zergling";132;0
"Unit";"Overlord";"Larva";132;0
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Baneling";"Zergling";140;0
"Unit";"Baneling";"Zergling";140;0
"Unit";"Baneling";"Zergling";140;0
"Building";"CreepTumor";NA;140;0
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Overlord";"Larva";140;0
"Unit";"Overlord";"Larva";140;0
"Unit";"Zergling";"Larva";148;1
"Unit";"Zergling";"Larva";148;1
"Unit";"Zergling";"Larva";148;1
"Unit";"Zergling";"Larva";148;1
"Unit";"Zergling";"Larva";148;1
"Unit";"Zergling";"Larva";148;1
"Building";"Hatchery";NA;118;0
"Building";"RoachWarren";NA;140;0
