"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";14;0
"Building";"Extractor";NA;15;0
"Building";"Extractor";NA;15;0
"Building";"SpawningPool";NA;16;0
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";21;1
"Unit";"Queen";"Hatchery";21;2
"Unit";"Overlord";"Larva";24;0
"Unit";"Overlord";"Larva";34;0
"Building";"Hatchery";NA;30;0
"Building";"Spire";NA;34;0
"Unit";"Zergling";"Larva";34;1
"Unit";"Zergling";"Larva";34;1
"Unit";"Mutalisk";"Larva";34;2
"Unit";"Mutalisk";"Larva";34;2
"Unit";"Mutalisk";"Larva";34;2
"Unit";"Mutalisk";"Larva";34;2
"Unit";"Mutalisk";"Larva";34;2
"Unit";"Mutalisk";"Larva";34;2
"Unit";"Mutalisk";"Larva";34;2
"Building";"CreepTumorQueen";NA;34;0
"Building";"Hatchery";NA;34;0
"Unit";"Queen";"Hatchery";34;2
"Unit";"Overlord";"Larva";34;0
"Unit";"Overlord";"Larva";34;0
"Building";"CreepTumorQueen";NA;50;0
