"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"SpawningPool";NA;16
"Building";"Hatchery";NA;18
"Building";"Extractor";NA;20
"Unit";"Zergling";"Larva";20
"Unit";"Zergling";"Larva";21
"Unit";"Zergling";"Larva";22
"Unit";"Zergling";"Larva";23
"Unit";"Queen";"Hatchery";24
"Unit";"Overlord";"Larva";26
"Unit";"Queen";"Hatchery";28
"Unit";"Queen";"Hatchery";31
"Building";"CreepTumorQueen";NA;37
"Unit";"Overlord";"Larva";37
"Unit";"Overlord";"Larva";41
"Building";"CreepTumor";NA;41
"Building";"Hatchery";NA;41
"Building";"CreepTumorQueen";NA;41
"Unit";"Zergling";"Larva";41
"Unit";"Zergling";"Larva";42
"Unit";"Zergling";"Larva";50
"Unit";"Zergling";"Larva";51
"Building";"CreepTumor";NA;52
"Building";"Extractor";NA;55
"Unit";"Zergling";"Larva";55
"Unit";"Zergling";"Larva";56
"Unit";"Zergling";"Larva";57
"Unit";"Zergling";"Larva";58
"Unit";"Zergling";"Larva";59
"Unit";"Zergling";"Larva";60
"Building";"CreepTumor";NA;61
"Unit";"Zergling";"Larva";61
"Unit";"Zergling";"Larva";62
"Unit";"Zergling";"Larva";63
"Unit";"Zergling";"Larva";64
"Unit";"Zergling";"Larva";65
"Unit";"Zergling";"Larva";66
"Building";"BanelingNest";NA;68
"Building";"CreepTumor";NA;68
"Building";"EvolutionChamber";NA;68
"Unit";"Overlord";"Larva";70
"Unit";"Overlord";"Larva";70
"Building";"CreepTumor";NA;70
"Unit";"Overlord";"Larva";70
"Unit";"Overlord";"Larva";70
"Unit";"Overlord";"Larva";70
"Unit";"Zergling";"Larva";70
"Unit";"Zergling";"Larva";71
"Unit";"Zergling";"Larva";72
"Unit";"Zergling";"Larva";73
"Unit";"Zergling";"Larva";74
"Unit";"Zergling";"Larva";75
"Unit";"Queen";"Hatchery";76
"Unit";"Zergling";"Larva";78
"Unit";"Zergling";"Larva";79
"Unit";"Zergling";"Larva";80
"Unit";"Zergling";"Larva";81
"Unit";"Zergling";"Larva";82
"Unit";"Zergling";"Larva";83
"Unit";"Zergling";"Larva";84
"Unit";"Zergling";"Larva";85
"Unit";"Zergling";"Larva";86
"Unit";"Zergling";"Larva";87
"Unit";"Zergling";"Larva";88
"Unit";"Zergling";"Larva";89
"Unit";"Zergling";"Larva";90
"Unit";"Zergling";"Larva";91
"Unit";"Zergling";"Larva";92
"Unit";"Zergling";"Larva";93
"Unit";"Zergling";"Larva";94
"Unit";"Zergling";"Larva";95
"Unit";"Zergling";"Larva";96
"Unit";"Zergling";"Larva";97
"Unit";"Zergling";"Larva";98
"Unit";"Zergling";"Larva";99
"Unit";"Zergling";"Larva";100
"Unit";"Zergling";"Larva";101
"Unit";"Zergling";"Larva";102
"Unit";"Zergling";"Larva";103
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Unit";"Baneling";"Zergling";104
"Unit";"Zergling";"Larva";104
"Unit";"Zergling";"Larva";105
"Unit";"Zergling";"Larva";106
"Unit";"Zergling";"Larva";107
"Unit";"Baneling";"Zergling";108
"Unit";"Baneling";"Zergling";108
"Unit";"Baneling";"Zergling";108
"Unit";"Baneling";"Zergling";108
"Unit";"Zergling";"Larva";108
"Unit";"Zergling";"Larva";109
"Unit";"Zergling";"Larva";110
"Unit";"Zergling";"Larva";111
"Unit";"Baneling";"Zergling";112
"Unit";"Zergling";"Larva";112
"Unit";"Zergling";"Larva";113
