"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Building";"Extractor";NA;18;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;17;0
"Unit";"Overlord";"Larva";22;0
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Queen";"Hatchery";23;2
"Unit";"Queen";"Hatchery";23;2
"Building";"CreepTumorQueen";NA;33;0
"Unit";"Overlord";"Larva";35;0
"Building";"CreepTumor";NA;36;0
"Unit";"Queen";"Hatchery";33;2
"Building";"CreepTumorQueen";NA;39;0
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Unit";"Zergling";"Larva";40;1
"Building";"Hatchery";NA;27;0
"Unit";"Overlord";"Larva";42;0
"Building";"CreepTumor";NA;53;0
"Building";"CreepTumor";NA;53;0
"Unit";"Queen";"Hatchery";42;2
"Unit";"Overlord";"Larva";54;0
"Unit";"Queen";"Hatchery";53;2
"Building";"CreepTumor";NA;60;0
"Building";"CreepTumorQueen";NA;64;0
"Building";"CreepTumor";NA;62;0
"Building";"CreepTumorQueen";NA;64;0
"Building";"BanelingNest";NA;53;0
"Unit";"Overlord";"Larva";64;0
"Building";"CreepTumorQueen";NA;66;0
"Building";"EvolutionChamber";NA;66;0
"Building";"EvolutionChamber";NA;66;0
"Unit";"Overlord";"Larva";66;0
"Unit";"Overlord";"Larva";66;0
"Building";"CreepTumor";NA;72;0
"Building";"CreepTumor";NA;72;0
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";72;1
