"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Building";"SpawningPool";NA;16;0
"Building";"Extractor";NA;19;0
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";21;1
"Unit";"Queen";"Hatchery";21;2
"Unit";"Overlord";"Larva";22;0
"Building";"Hatchery";NA;19;0
"Unit";"Queen";"Hatchery";26;2
"Building";"CreepTumorQueen";NA;30;0
"Unit";"Queen";"Hatchery";26;2
"Unit";"Overlord";"Larva";32;0
"Building";"CreepTumorQueen";NA;39;0
"Building";"CreepTumor";NA;39;0
"Unit";"Queen";"Hatchery";36;2
"Building";"Hatchery";NA;30;0
"Unit";"Overlord";"Larva";44;0
"Building";"CreepTumorQueen";NA;46;0
"Building";"CreepTumorQueen";NA;46;0
"Building";"CreepTumor";NA;46;0
"Building";"CreepTumor";NA;46;0
"Unit";"Overlord";"Larva";49;0
"Unit";"Overlord";"Larva";49;0
"Unit";"Overlord";"Larva";49;0
"Unit";"Zergling";"Larva";49;1
"Unit";"Zergling";"Larva";49;1
"Unit";"Zergling";"Larva";49;1
"Unit";"Zergling";"Larva";49;1
"Unit";"Zergling";"Larva";49;1
"Unit";"Zergling";"Larva";49;1
"Building";"RoachWarren";NA;46;0
"Building";"CreepTumorQueen";NA;49;0
"Building";"CreepTumor";NA;49;0
"Building";"CreepTumor";NA;49;0
"Unit";"Queen";"Hatchery";49;2
"Unit";"Roach";"Larva";61;2
"Unit";"Roach";"Larva";61;2
"Unit";"Roach";"Larva";61;2
"Unit";"Roach";"Larva";61;2
"Unit";"Roach";"Larva";61;2
"Unit";"Roach";"Larva";63;2
"Building";"Extractor";NA;63;0
"Building";"CreepTumor";NA;63;0
"Building";"CreepTumor";NA;63;0
"Building";"CreepTumor";NA;63;0
"Building";"CreepTumorQueen";NA;80;0
"Building";"CreepTumorQueen";NA;80;0
"Unit";"Overlord";"Larva";63;0
"Building";"SporeCrawler";NA;84;0
"Building";"SporeCrawler";NA;84;0
"Building";"SporeCrawler";NA;84;0
"Building";"CreepTumor";NA;98;0
"Building";"CreepTumor";NA;98;0
"Building";"CreepTumor";NA;102;0
"Building";"CreepTumor";NA;102;0
"Building";"CreepTumor";NA;102;0
"Building";"EvolutionChamber";NA;87;0
"Building";"EvolutionChamber";NA;87;0
"Building";"Extractor";NA;103;0
"Building";"Extractor";NA;103;0
"Building";"Extractor";NA;103;0
"Building";"Extractor";NA;103;0
"Building";"CreepTumorQueen";NA;111;0
"Building";"CreepTumorQueen";NA;111;0
"Unit";"Queen";"Hatchery";111;2
"Building";"CreepTumor";NA;117;0
"Building";"CreepTumor";NA;117;0
"Building";"CreepTumor";NA;117;0
"Building";"CreepTumor";NA;117;0
"Building";"HydraliskDen";NA;117;0
"Unit";"Zergling";"Larva";117;1
"Unit";"Zergling";"Larva";117;1
"Unit";"Zergling";"Larva";117;1
"Unit";"Zergling";"Larva";117;1
"Unit";"Overlord";"Larva";117;0
"Unit";"Overlord";"Larva";124;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Building";"CreepTumor";NA;126;0
"Building";"CreepTumor";NA;126;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Unit";"Overlord";"Larva";126;0
"Building";"BanelingNest";NA;117;0
"Building";"CreepTumor";NA;130;0
"Building";"CreepTumor";NA;130;0
"Unit";"Hydralisk";"Larva";130;2
"Unit";"Hydralisk";"Larva";130;2
"Building";"CreepTumorQueen";NA;133;0
"Unit";"Hydralisk";"Larva";130;2
"Unit";"Hydralisk";"Larva";130;2
"Unit";"Hydralisk";"Larva";130;2
"Building";"CreepTumorQueen";NA;133;0
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Unit";"Zergling";"Larva";133;1
"Building";"CreepTumor";NA;133;0
"Building";"CreepTumor";NA;133;0
"Unit";"Hydralisk";"Larva";133;2
"Unit";"Hydralisk";"Larva";133;2
"Unit";"Hydralisk";"Larva";133;2
"Upgrade";"ZergMissileWeaponsLevel1";"EvolutionChamber";117;0
