"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;17
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Unit";"Overlord";"Larva";22
"Unit";"Queen";"Hatchery";22
"Unit";"Zergling";"Larva";24
"Unit";"Zergling";"Larva";25
"Unit";"Zergling";"Larva";26
"Unit";"Zergling";"Larva";27
"Unit";"Queen";"Hatchery";28
"Unit";"Queen";"Hatchery";37
"Unit";"Overlord";"Larva";39
"Unit";"Zergling";"Larva";40
"Unit";"Zergling";"Larva";41
"Building";"Hatchery";NA;46
"Unit";"Overlord";"Larva";50
"Unit";"Overlord";"Larva";51
"Building";"CreepTumorQueen";NA;54
"Unit";"Queen";"Hatchery";54
"Unit";"Overlord";"Larva";59
"Building";"Extractor";NA;59
"Building";"Extractor";NA;59
"Building";"RoachWarren";NA;59
"Unit";"Zergling";"Larva";61
"Unit";"Zergling";"Larva";62
"Building";"CreepTumor";NA;63
"Unit";"Overlord";"Larva";63
"Unit";"Queen";"Hatchery";63
"Unit";"Zergling";"Larva";65
"Unit";"Zergling";"Larva";66
"Unit";"Zergling";"Larva";67
"Unit";"Zergling";"Larva";68
"Unit";"Zergling";"Larva";69
"Unit";"Zergling";"Larva";70
"Unit";"Overlord";"Larva";71
"Building";"NydusNetwork";NA;71
"Unit";"Roach";"Larva";71
"Unit";"Roach";"Larva";73
"Unit";"Roach";"Larva";75
"Unit";"Roach";"Larva";77
"Unit";"Roach";"Larva";79
"Unit";"Roach";"Larva";81
"Unit";"Roach";"Larva";83
"Building";"CreepTumor";NA;85
"Unit";"Overlord";"Larva";85
"Unit";"Roach";"Larva";85
"Unit";"Roach";"Larva";87
"Unit";"Overlord";"Larva";89
"Unit";"Overlord";"Larva";89
"Building";"NydusCanal";NA;89
"Unit";"Roach";"Larva";89
"Unit";"Roach";"Larva";91
"Unit";"Roach";"Larva";93
"Unit";"Roach";"Larva";95
"Unit";"Roach";"Larva";97
"Building";"SporeCrawler";NA;99
"Unit";"Roach";"Larva";99
"Building";"CreepTumorQueen";NA;101
"Upgrade";"SprayZerg";NA;101
"Upgrade";"SprayZerg";NA;101
"Upgrade";"SprayZerg";NA;101
"Upgrade";"zerglingmovementspeed";NA;101
"Upgrade";"SprayZerg";NA;101
