"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Unit";"Overlord";"Larva";22;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;18;0
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Queen";"Hatchery";22;2
"Unit";"Queen";"Hatchery";22;2
"Unit";"Overlord";"Larva";37;0
"Unit";"Queen";"Hatchery";36;2
"Building";"CreepTumorQueen";NA;41;0
"Unit";"Overlord";"Larva";41;0
"Unit";"Zergling";"Larva";50;1
"Unit";"Zergling";"Larva";50;1
"Building";"Extractor";NA;50;0
"Building";"Extractor";NA;50;0
"Unit";"Zergling";"Larva";50;1
"Unit";"Zergling";"Larva";50;1
"Unit";"Overlord";"Larva";51;0
"Building";"CreepTumor";NA;56;0
"Building";"CreepTumorQueen";NA;56;0
"Building";"RoachWarren";NA;50;0
"Building";"Extractor";NA;56;0
"Unit";"Overlord";"Larva";62;0
"Building";"CreepTumor";NA;64;0
"Building";"CreepTumor";NA;64;0
"Building";"CreepTumorQueen";NA;66;0
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Overlord";"Larva";66;0
"Unit";"Roach";"Larva";69;2
"Unit";"Roach";"Larva";73;2
"Building";"CreepTumor";NA;77;0
"Unit";"Roach";"Larva";77;2
"Unit";"Roach";"Larva";77;2
"Building";"CreepTumor";NA;77;0
"Building";"Spire";NA;58;0
"Unit";"Overlord";"Larva";77;0
"Unit";"Overlord";"Larva";77;0
"Unit";"Roach";"Larva";79;2
"Unit";"Roach";"Larva";79;2
"Building";"CreepTumorQueen";NA;85;0
"Building";"Hatchery";NA;64;0
"Unit";"Overlord";"Larva";85;0
"Unit";"Overlord";"Larva";85;0
"Unit";"Mutalisk";"Larva";89;2
"Unit";"Mutalisk";"Larva";89;2
"Unit";"Mutalisk";"Larva";89;2
"Unit";"Mutalisk";"Larva";89;2
"Unit";"Mutalisk";"Larva";89;2
"Upgrade";"GlialReconstitution";"RoachWarren";77;0
"Unit";"Mutalisk";"Larva";89;2
"Unit";"Mutalisk";"Larva";89;2
"Building";"SporeCrawler";NA;89;0
"Building";"SporeCrawler";NA;89;0
"Building";"CreepTumor";NA;99;0
"Building";"CreepTumor";NA;99;0
"Building";"CreepTumor";NA;100;0
"Building";"SporeCrawler";NA;99;0
"Building";"EvolutionChamber";NA;110;0
"Building";"EvolutionChamber";NA;113;0
"Unit";"Overlord";"Larva";120;0
"Unit";"Roach";"Larva";122;2
"Unit";"Roach";"Larva";131;2
"Unit";"Roach";"Larva";131;2
"Unit";"Roach";"Larva";131;2
"Building";"Extractor";NA;131;0
"Unit";"Overlord";"Larva";133;0
"Building";"Extractor";NA;133;0
"Unit";"Overlord";"Larva";142;0
"Unit";"Roach";"Larva";142;2
"Unit";"Overlord";"Larva";144;0
"Unit";"Roach";"Larva";142;2
"Unit";"Roach";"Larva";144;2
"Unit";"Roach";"Larva";144;2
"Unit";"Overlord";"Larva";144;0
"Unit";"Roach";"Larva";144;2
"Unit";"Roach";"Larva";144;2
"Unit";"Roach";"Larva";144;2
"Unit";"Roach";"Larva";144;2
"Unit";"Queen";"Hatchery";137;2
"Unit";"Roach";"Larva";144;2
"Building";"CreepTumor";NA;152;0
"Unit";"Overlord";"Larva";144;0
"Building";"CreepTumor";NA;152;0
"Unit";"Overlord";"Larva";144;0
"Building";"CreepTumor";NA;152;0
"Unit";"Overlord";"Larva";152;0
"Unit";"Overlord";"Larva";152;0
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";160;2
"Unit";"Roach";"Larva";160;2
"Unit";"Roach";"Larva";164;2
"Unit";"Roach";"Larva";164;2
"Unit";"Roach";"Larva";164;2
"Unit";"Roach";"Larva";164;2
"Unit";"Roach";"Larva";172;2
"Unit";"Roach";"Larva";172;2
"Unit";"Roach";"Larva";176;2
"Unit";"Roach";"Larva";176;2
"Unit";"Roach";"Larva";176;2
"Unit";"Roach";"Larva";176;2
"Unit";"Roach";"Larva";176;2
"Building";"Hatchery";NA;144;0
"Upgrade";"ZergMissileWeaponsLevel1";"EvolutionChamber";137;0
"Upgrade";"ZergGroundArmorsLevel1";"EvolutionChamber";137;0
"Unit";"Roach";"Larva";184;2
"Building";"CreepTumor";NA;188;0
"Building";"CreepTumor";NA;188;0
"Unit";"Roach";"Larva";184;2
"Unit";"Roach";"Larva";184;2
"Unit";"Roach";"Larva";184;2
"Unit";"Overlord";"Larva";188;0
"Unit";"Roach";"Larva";188;2
"Unit";"Roach";"Larva";188;2
"Building";"CreepTumorQueen";NA;202;0
"Building";"CreepTumorQueen";NA;208;0
