"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Extractor";NA;13
"Building";"SpawningPool";NA;13
"Unit";"Overlord";"Larva";16
"Unit";"Zergling";"Larva";16
"Unit";"Zergling";"Larva";17
"Unit";"Zergling";"Larva";18
"Unit";"Zergling";"Larva";19
"Unit";"Zergling";"Larva";20
"Unit";"Zergling";"Larva";21
"Unit";"Zergling";"Larva";22
"Unit";"Zergling";"Larva";23
"Building";"BanelingNest";NA;24
"Unit";"Zergling";"Larva";24
"Unit";"Zergling";"Larva";25
"Unit";"Zergling";"Larva";26
"Unit";"Zergling";"Larva";27
"Unit";"Zergling";"Larva";28
"Unit";"Zergling";"Larva";29
"Unit";"Zergling";"Larva";30
"Unit";"Zergling";"Larva";31
"Building";"Hatchery";NA;32
"Unit";"Baneling";"Zergling";32
"Unit";"Baneling";"Zergling";32
"Unit";"Baneling";"Zergling";32
"Unit";"Baneling";"Zergling";32
"Unit";"Zergling";"Larva";32
"Unit";"Zergling";"Larva";33
"Unit";"Overlord";"Larva";38
"Unit";"Baneling";"Zergling";38
"Unit";"Baneling";"Zergling";38
"Unit";"Queen";"Hatchery";39
"Unit";"Queen";"Hatchery";45
"Building";"Hatchery";NA;54
"Unit";"Overlord";"Larva";56
"Unit";"Zergling";"Larva";56
"Unit";"Zergling";"Larva";57
"Unit";"Overlord";"Larva";58
"Building";"EvolutionChamber";NA;58
"Unit";"Queen";"Hatchery";59
"Unit";"Zergling";"Larva";61
"Unit";"Zergling";"Larva";62
"Building";"RoachWarren";NA;71
"Unit";"Overlord";"Larva";80
"Building";"CreepTumorQueen";NA;80
"Building";"Extractor";NA;84
"Building";"Extractor";NA;84
"Unit";"Overlord";"Larva";84
"Unit";"Roach";"Larva";87
"Unit";"Roach";"Larva";89
"Building";"Extractor";NA;91
"Building";"CreepTumor";NA;91
"Unit";"Roach";"Larva";91
"Unit";"Roach";"Larva";93
"Unit";"Overlord";"Larva";95
"Unit";"Overlord";"Larva";97
"Unit";"Overlord";"Larva";97
"Unit";"Roach";"Larva";97
"Unit";"Overlord";"Larva";99
"Unit";"Roach";"Larva";99
"Unit";"Overlord";"Larva";101
"Unit";"Roach";"Larva";101
"Upgrade";"GlialReconstitution";"RoachWarren";112
"Building";"Extractor";NA;115
"Building";"Extractor";NA;115
"Building";"Hatchery";NA;115
"Unit";"Overlord";"Larva";115
"Unit";"Overlord";"Larva";120
"Building";"InfestationPit";NA;120
"Unit";"Overlord";"Larva";122
"Unit";"Roach";"Larva";122
"Unit";"Roach";"Larva";124
"Unit";"Roach";"Larva";126
"Unit";"Roach";"Larva";128
"Unit";"Roach";"Larva";130
"Unit";"Roach";"Larva";132
"Unit";"Roach";"Larva";134
"Unit";"Roach";"Larva";136
"Unit";"Roach";"Larva";138
"Unit";"Roach";"Larva";140
"Unit";"Roach";"Larva";142
"Unit";"Roach";"Larva";144
"Unit";"Roach";"Larva";146
"Unit";"Overlord";"Larva";148
"Unit";"Overlord";"Larva";148
"Unit";"Roach";"Larva";148
"Building";"CreepTumor";NA;150
"Unit";"Infestor";"Larva";150
"Unit";"Infestor";"Larva";152
"Unit";"Roach";"Larva";154
"Unit";"Roach";"Larva";156
"Unit";"Roach";"Larva";158
"Unit";"Roach";"Larva";160
"Unit";"Roach";"Larva";162
"Unit";"Roach";"Larva";164
"Unit";"Roach";"Larva";166
"Unit";"Overlord";"Larva";168
"Unit";"Queen";"Hatchery";168
"Unit";"Roach";"Larva";180
"Unit";"Roach";"Larva";182
"Unit";"Roach";"Larva";184
"Unit";"Roach";"Larva";186
"Unit";"Roach";"Larva";188
"Unit";"Roach";"Larva";190
"Unit";"Roach";"Larva";192
"Unit";"Roach";"Larva";194
"Unit";"Roach";"Larva";196
"Building";"CreepTumor";NA;198
"Unit";"Overlord";"Larva";198
"Building";"Hatchery";NA;198
"Unit";"Overlord";"Larva";198
"Unit";"Overlord";"Larva";198
"Unit";"Overlord";"Larva";198
"Unit";"Overlord";"Larva";198
"Unit";"Roach";"Larva";198
"Unit";"Roach";"Larva";200
"Unit";"Roach";"Larva";202
"Unit";"Roach";"Larva";204
"Unit";"Roach";"Larva";206
"Unit";"Roach";"Larva";208
"Unit";"Roach";"Larva";210
"Unit";"Roach";"Larva";212
"Unit";"Roach";"Larva";214
"Unit";"Roach";"Larva";216
"Unit";"Roach";"Larva";218
"Upgrade";"Burrow";"Hatchery";220
"Unit";"Roach";"Larva";220
"Unit";"Roach";"Larva";222
"Unit";"Roach";"Larva";224
"Unit";"Roach";"Larva";226
"Unit";"Roach";"Larva";228
"Unit";"Roach";"Larva";230
"Unit";"Overlord";"Larva";232
"Unit";"Overlord";"Larva";232
"Unit";"Overlord";"Larva";232
"Unit";"Overlord";"Larva";232
"Unit";"Roach";"Larva";232
"Building";"RoachWarren";NA;234
"Unit";"Roach";"Larva";234
"Unit";"Roach";"Larva";236
"Unit";"Roach";"Larva";238
"Unit";"Roach";"Larva";240
"Building";"Hatchery";NA;242
"Unit";"Roach";"Larva";242
"Unit";"Roach";"Larva";244
"Unit";"Roach";"Larva";246
"Unit";"Roach";"Larva";248
"Unit";"Roach";"Larva";250
"Unit";"Roach";"Larva";252
"Unit";"Queen";"Hatchery";254
"Unit";"Roach";"Larva";256
"Unit";"Roach";"Larva";258
"Unit";"Roach";"Larva";260
"Unit";"Queen";"Hatchery";262
"Unit";"Roach";"Larva";264
"Unit";"Roach";"Larva";266
"Unit";"Roach";"Larva";268
"Unit";"Roach";"Larva";270
"Unit";"Roach";"Larva";272
"Unit";"Roach";"Larva";274
"Unit";"Roach";"Larva";276
"Unit";"Roach";"Larva";278
"Unit";"Roach";"Larva";280
"Unit";"Roach";"Larva";282
"Unit";"Roach";"Larva";284
"Unit";"Roach";"Larva";286
"Unit";"Roach";"Larva";288
"Unit";"Roach";"Larva";290
"Unit";"Roach";"Larva";292
"Upgrade";"SprayZerg";NA;294
"Upgrade";"zerglingmovementspeed";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"ZergMissileWeaponsLevel1";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"ZergMissileWeaponsLevel2";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"SprayZerg";NA;294
"Upgrade";"SprayZerg";NA;294
