"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Building";"Extractor";NA;16;0
"Building";"SpawningPool";NA;17;0
"Unit";"Overlord";"Larva";20;0
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";21;1
"Unit";"Queen";"Hatchery";21;2
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";21;1
"Building";"BanelingNest";NA;21;0
"Building";"SpineCrawler";NA;21;0
"Building";"SpineCrawler";NA;23;0
"Unit";"Baneling";"Zergling";29;0
"Unit";"Baneling";"Zergling";29;0
"Unit";"Queen";"Hatchery";25;2
"Building";"CreepTumorQueen";NA;31;0
"Building";"CreepTumor";NA;35;0
"Unit";"Baneling";"Zergling";35;0
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Unit";"Zergling";"Larva";35;1
"Building";"CreepTumor";NA;39;0
"Unit";"Overlord";"Larva";39;0
"Building";"Hatchery";NA;33;0
"Unit";"Overlord";"Larva";47;0
"Unit";"Baneling";"Zergling";47;0
"Unit";"Overlord";"Larva";47;0
"Unit";"Zergling";"Larva";47;1
"Unit";"Zergling";"Larva";47;1
"Unit";"Zergling";"Larva";47;1
"Unit";"Zergling";"Larva";47;1
"Unit";"Queen";"Hatchery";47;2
"Unit";"Baneling";"Zergling";47;0
"Building";"Extractor";NA;47;0
"Building";"CreepTumor";NA;51;0
"Building";"CreepTumor";NA;60;0
"Unit";"Overlord";"Larva";67;0
"Unit";"Overlord";"Larva";68;0
"Unit";"Overlord";"Larva";69;0
"Building";"Extractor";NA;69;0
"Building";"Extractor";NA;69;0
"Unit";"Baneling";"Zergling";74;0
"Unit";"Baneling";"Zergling";76;0
"Unit";"Baneling";"Zergling";76;0
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Building";"Spire";NA;69;0
"Unit";"Zergling";"Larva";86;1
"Unit";"Zergling";"Larva";86;1
"Unit";"Zergling";"Larva";86;1
"Unit";"Zergling";"Larva";86;1
"Unit";"Baneling";"Zergling";86;0
"Unit";"Baneling";"Zergling";86;0
"Unit";"Mutalisk";"Larva";86;2
"Unit";"Mutalisk";"Larva";86;2
"Unit";"Mutalisk";"Larva";86;2
"Unit";"Mutalisk";"Larva";86;2
"Unit";"Mutalisk";"Larva";88;2
"Unit";"Mutalisk";"Larva";88;2
"Unit";"Mutalisk";"Larva";104;2
"Unit";"Mutalisk";"Larva";104;2
"Unit";"Mutalisk";"Larva";104;2
"Unit";"Mutalisk";"Larva";104;2
"Unit";"Zergling";"Larva";104;1
"Unit";"Zergling";"Larva";104;1
"Unit";"Zergling";"Larva";104;1
"Unit";"Zergling";"Larva";104;1
"Unit";"Zergling";"Larva";104;1
"Unit";"Zergling";"Larva";104;1
"Building";"EvolutionChamber";NA;104;0
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Zergling";"Larva";118;1
"Unit";"Queen";"Hatchery";104;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Mutalisk";"Larva";128;2
"Unit";"Mutalisk";"Larva";128;2
"Unit";"Baneling";"Zergling";128;0
"Unit";"Baneling";"Zergling";128;0
"Building";"Hatchery";NA;104;0
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Building";"Hatchery";NA;104;0
"Unit";"Zergling";"Larva";130;1
"Unit";"Zergling";"Larva";130;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";134;1
"Unit";"Zergling";"Larva";134;1
"Unit";"Zergling";"Larva";134;1
"Unit";"Zergling";"Larva";134;1
"Unit";"Mutalisk";"Larva";128;2
"Unit";"Zergling";"Larva";138;1
"Unit";"Zergling";"Larva";138;1
"Unit";"Zergling";"Larva";138;1
"Unit";"Zergling";"Larva";138;1
"Unit";"Queen";"Hatchery";128;2
"Unit";"Mutalisk";"Larva";138;2
"Unit";"Baneling";"Zergling";150;0
"Unit";"Queen";"Hatchery";146;2
"Unit";"Queen";"Hatchery";150;2
