"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Unit";"Overlord";"Larva";14;0
"Building";"Hatchery";NA;17;0
"Building";"SpawningPool";NA;18;0
"Building";"Extractor";NA;19;0
"Unit";"Overlord";"Larva";24;0
"Unit";"Queen";"Hatchery";24;2
"Unit";"Queen";"Hatchery";26;2
"Unit";"Overlord";"Larva";33;0
"Unit";"Queen";"Hatchery";34;2
"Building";"EvolutionChamber";NA;37;0
"Building";"RoachWarren";NA;39;0
"Unit";"Overlord";"Larva";46;0
"Building";"CreepTumorQueen";NA;48;0
"Building";"Extractor";NA;48;0
"Building";"Extractor";NA;48;0
"Unit";"Overlord";"Larva";49;0
"Building";"EvolutionChamber";NA;49;0
"Unit";"Roach";"Larva";49;2
"Unit";"Roach";"Larva";51;2
"Unit";"Roach";"Larva";53;2
"Unit";"Roach";"Larva";55;2
"Unit";"Roach";"Larva";57;2
"Unit";"Roach";"Larva";59;2
"Unit";"Roach";"Larva";61;2
"Unit";"Queen";"Hatchery";63;2
"Unit";"Roach";"Larva";65;2
"Unit";"Overlord";"Larva";71;0
"Building";"CreepTumor";NA;74;0
"Unit";"Overlord";"Larva";74;0
"Upgrade";"GlialReconstitution";"RoachWarren";78;0
"Unit";"Overlord";"Larva";78;0
"Unit";"Overlord";"Larva";78;0
"Unit";"Roach";"Larva";81;2
"Unit";"Roach";"Larva";83;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";87;2
"Unit";"Overlord";"Larva";89;0
"Unit";"Roach";"Larva";89;2
"Unit";"Roach";"Larva";91;2
"Unit";"Roach";"Larva";93;2
"Unit";"Roach";"Larva";95;2
"Unit";"Roach";"Larva";97;2
"Unit";"Roach";"Larva";99;2
"Unit";"Roach";"Larva";101;2
"Unit";"Roach";"Larva";103;2
"Unit";"Roach";"Larva";105;2
"Unit";"Roach";"Larva";107;2
"Unit";"Overlord";"Larva";109;0
"Building";"Hatchery";NA;114;0
"Unit";"Roach";"Larva";117;2
"Unit";"Roach";"Larva";119;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";123;2
"Unit";"Queen";"Hatchery";125;2
"Building";"CreepTumor";NA;127;0
"Unit";"Roach";"Larva";127;2
"Unit";"Roach";"Larva";129;2
"Unit";"Roach";"Larva";131;2
"Unit";"Roach";"Larva";133;2
"Unit";"Roach";"Larva";135;2
"Unit";"Overlord";"Larva";137;0
"Unit";"Roach";"Larva";137;2
"Unit";"Roach";"Larva";139;2
"Unit";"Roach";"Larva";141;2
"Unit";"Overlord";"Larva";143;0
"Building";"Extractor";NA;143;0
"Unit";"Roach";"Larva";143;2
"Unit";"Roach";"Larva";145;2
"Building";"CreepTumor";NA;147;0
"Unit";"Roach";"Larva";147;2
"Unit";"Roach";"Larva";149;2
"Unit";"Roach";"Larva";151;2
