"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Unit";"Overlord";"Larva";20;0
"Building";"SpawningPool";NA;18;0
"Building";"Hatchery";NA;17;0
"Unit";"Zergling";"Larva";21;1
"Unit";"Zergling";"Larva";21;1
"Unit";"Queen";"Hatchery";21;2
"Unit";"Zergling";"Larva";26;1
"Unit";"Zergling";"Larva";26;1
"Unit";"Queen";"Hatchery";21;2
"Building";"Extractor";NA;29;0
"Unit";"Overlord";"Larva";35;0
"Building";"BanelingNest";NA;26;0
"Building";"SpineCrawler";NA;37;0
"Unit";"Overlord";"Larva";46;0
"Building";"Extractor";NA;46;0
"Building";"Extractor";NA;46;0
"Unit";"Baneling";"Zergling";50;0
"Unit";"Baneling";"Zergling";50;0
"Unit";"Overlord";"Larva";51;0
"Unit";"Zergling";"Larva";59;1
"Unit";"Zergling";"Larva";59;1
"Unit";"Zergling";"Larva";59;1
"Unit";"Zergling";"Larva";59;1
"Unit";"Queen";"Hatchery";58;2
"Unit";"Overlord";"Larva";60;0
"Unit";"Overlord";"Larva";64;0
"Unit";"Overlord";"Larva";64;0
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";66;1
"Building";"CreepTumorQueen";NA;68;0
"Building";"Spire";NA;57;0
"Unit";"Overlord";"Larva";76;0
"Building";"SpineCrawler";NA;68;0
"Building";"SpineCrawler";NA;68;0
"Building";"Hatchery";NA;59;0
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Overlord";"Larva";76;0
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Zergling";"Larva";78;1
"Unit";"Zergling";"Larva";78;1
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Mutalisk";"Larva";76;2
"Unit";"Mutalisk";"Larva";86;2
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Mutalisk";"Larva";87;2
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Mutalisk";"Larva";113;2
"Unit";"Mutalisk";"Larva";113;2
"Unit";"Mutalisk";"Larva";121;2
"Unit";"Mutalisk";"Larva";121;2
"Unit";"Mutalisk";"Larva";121;2
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Mutalisk";"Larva";128;2
"Unit";"Zergling";"Larva";134;1
"Unit";"Zergling";"Larva";134;1
"Unit";"Queen";"Hatchery";128;2
"Unit";"Queen";"Hatchery";128;2
"Unit";"Mutalisk";"Larva";134;2
"Unit";"Mutalisk";"Larva";134;2
"Unit";"Mutalisk";"Larva";144;2
"Unit";"Mutalisk";"Larva";144;2
"Unit";"Baneling";"Zergling";152;0
"Unit";"Baneling";"Zergling";152;0
"Unit";"Baneling";"Zergling";152;0
"Unit";"Baneling";"Zergling";152;0
"Unit";"Zergling";"Larva";152;1
"Unit";"Zergling";"Larva";152;1
"Unit";"Overlord";"Larva";156;0
"Unit";"Overlord";"Larva";156;0
"Unit";"Overlord";"Larva";156;0
"Unit";"Overlord";"Larva";156;0
"Unit";"Overlord";"Larva";156;0
"Unit";"Queen";"Hatchery";152;2
"Building";"SpineCrawler";NA;156;0
"Unit";"Mutalisk";"Larva";160;2
"Unit";"Mutalisk";"Larva";160;2
"Unit";"Mutalisk";"Larva";160;2
"Building";"SporeCrawler";NA;160;0
"Building";"SporeCrawler";NA;160;0
"Building";"CreepTumor";NA;160;0
"Unit";"Mutalisk";"Larva";160;2
"Building";"SporeCrawler";NA;167;0
"Unit";"Mutalisk";"Larva";167;2
"Building";"Hatchery";NA;156;0
"Building";"SporeCrawler";NA;175;0
"Unit";"Queen";"Hatchery";160;2
"Unit";"Mutalisk";"Larva";180;2
"Unit";"Mutalisk";"Larva";181;2
"Building";"Extractor";NA;185;0
"Building";"Extractor";NA;185;0
"Unit";"Queen";"Hatchery";183;2
"Unit";"Mutalisk";"Larva";185;2
"Unit";"Mutalisk";"Larva";186;2
"Unit";"Mutalisk";"Larva";186;2
"Unit";"Zergling";"Larva";196;1
"Unit";"Zergling";"Larva";196;1
"Building";"SporeCrawler";NA;196;0
"Unit";"Overlord";"Larva";196;0
"Building";"SporeCrawler";NA;196;0
"Unit";"Overlord";"Larva";196;0
"Unit";"Mutalisk";"Larva";196;2
"Unit";"Zergling";"Larva";196;1
"Unit";"Zergling";"Larva";196;1
