"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;18;0
"Building";"SpawningPool";NA;18;0
"Unit";"Overlord";"Larva";21;0
"Building";"Hatchery";NA;17;0
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Queen";"Hatchery";22;2
"Unit";"Queen";"Hatchery";23;2
"Unit";"Overlord";"Larva";27;0
"Unit";"Queen";"Hatchery";30;2
"Unit";"Queen";"Hatchery";37;2
"Unit";"Zergling";"Larva";41;1
"Unit";"Zergling";"Larva";41;1
"Building";"EvolutionChamber";NA;46;0
"Building";"CreepTumorQueen";NA;52;0
"Building";"EvolutionChamber";NA;48;0
"Building";"CreepTumorQueen";NA;54;0
"Building";"RoachWarren";NA;46;0
"Unit";"Overlord";"Larva";57;0
"Unit";"Overlord";"Larva";57;0
"Building";"EvolutionChamber";NA;57;0
"Building";"Extractor";NA;57;0
"Unit";"Roach";"Larva";57;2
"Building";"Extractor";NA;57;0
"Unit";"Overlord";"Larva";57;0
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";60;2
"Unit";"Roach";"Larva";60;2
"Building";"CreepTumor";NA;60;0
"Unit";"Roach";"Larva";79;2
"Unit";"Overlord";"Larva";82;0
"Unit";"Overlord";"Larva";82;0
"Building";"CreepTumor";NA;84;0
"Building";"CreepTumorQueen";NA;85;0
"Building";"CreepTumorQueen";NA;85;0
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Upgrade";"ZergMissileWeaponsLevel1";"EvolutionChamber";58;0
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Unit";"Roach";"Larva";85;2
"Upgrade";"GlialReconstitution";"RoachWarren";82;0
"Unit";"Roach";"Larva";105;2
"Unit";"Roach";"Larva";105;2
"Unit";"Roach";"Larva";105;2
"Unit";"Roach";"Larva";105;2
"Building";"CreepTumor";NA;109;0
"Building";"CreepTumor";NA;109;0
"Building";"CreepTumorQueen";NA;119;0
"Unit";"Overlord";"Larva";119;0
"Unit";"Overlord";"Larva";119;0
"Unit";"Roach";"Larva";119;2
"Unit";"Overlord";"Larva";119;0
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Unit";"Roach";"Larva";121;2
"Building";"CreepTumor";NA;121;0
"Building";"CreepTumor";NA;121;0
"Building";"CreepTumorQueen";NA;121;0
"Building";"Hatchery";NA;109;0
"Unit";"Overlord";"Larva";140;0
"Unit";"Overlord";"Larva";140;0
"Building";"CreepTumor";NA;144;0
"Building";"Extractor";NA;140;0
"Building";"HydraliskDen";NA;147;0
"Building";"CreepTumor";NA;152;0
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Roach";"Larva";152;2
"Unit";"Overlord";"Larva";152;0
"Unit";"Overlord";"Larva";152;0
"Unit";"Overlord";"Larva";152;0
"Unit";"Overlord";"Larva";152;0
"Unit";"Overlord";"Larva";152;0
"Building";"CreepTumor";NA;156;0
"Building";"CreepTumor";NA;164;0
"Building";"CreepTumor";NA;164;0
"Upgrade";"ZergMissileWeaponsLevel2";"EvolutionChamber";121;0
"Building";"Extractor";NA;164;0
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Roach";"Larva";165;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Roach";"Larva";165;2
